model,term,estimate,std_error,statistic,p_value,conf_low,conf_high
Choice probit mixed model,(Intercept),-0.10681604794564893,0.03148163039451618,-3.392964297181233,6.914064922209512e-4,-0.16852004351890065,-0.04511205237239722
Choice probit mixed model,V_z,0.5897306347083459,0.0755784045113811,7.80289870527156,6.05011118875637e-15,0.4415969618660389,0.7378643075506528
Choice probit mixed model,RU_z,0.45477689122119164,0.06351707255108725,7.159915798314087,8.072662975250677e-13,0.3302834290210606,0.5792703534213226
Choice probit mixed model,VTU_z,-0.015083739821597419,0.041674956625879445,-0.36193774493890346,0.7173985530194573,-0.09676665480832113,0.0665991751651263
Choice probit mixed model,feedback_typefull,0.3097350303330621,0.10354137163068929,2.991413243373123,0.002776894301666282,0.10679394193691111,0.512676118729213
Choice probit mixed model,pressuretp,0.06037264506677282,0.01913632920644229,3.154870739078225,0.001605692278357275,0.02286543982214593,0.0978798503113997
Choice probit mixed model,framereject,0.045899886808038026,0.019241467122547436,2.3854671016355016,0.017057447946629424,0.008186611247845053,0.08361316236823099
Choice probit mixed model,V_z:feedback_typefull,-0.33999917631801163,0.10026630056334801,-3.390961613300981,6.964785548150467e-4,-0.5365211254221738,-0.14347722721384953
Choice probit mixed model,V_z:pressuretp,-0.1838952190871914,0.08034096104788309,-2.288934768624315,0.022083142754961683,-0.3413635027410422,-0.026426935433340543
Choice probit mixed model,V_z:framereject,-0.11326600690942543,0.08104288036623039,-1.3976058895930115,0.16223144877543821,-0.27211005242723696,0.045578038608386134
Choice probit mixed model,RU_z:feedback_typefull,-2.755157747030004,1.1704237546741207,-2.3539831074234465,0.018573455125720156,-5.049188306191281,-0.46112718786872753
Choice probit mixed model,RU_z:pressuretp,-0.11103466203497397,0.07048265526210583,-1.5753473194513778,0.11517629714013153,-0.2491806663487014,0.027111342278753447
Choice probit mixed model,RU_z:framereject,-0.035766589547805795,0.07084873383465383,-0.5048303281082984,0.6136780124682721,-0.1746301078637273,0.10309692876811571
Choice probit mixed model,VTU_z:feedback_typefull,0.06978966999688717,0.05099932855967764,1.3684429181302205,0.17117347797414062,-0.03016901398008101,0.16974835397385535
Choice probit mixed model,VTU_z:pressuretp,0.07552578665025943,0.040775899546513214,1.8522163211655673,0.06399476602377092,-0.0043949764609064745,0.15544654976142533
Choice probit mixed model,VTU_z:framereject,5.649123689873097e-4,0.040924042065668784,0.013803924062066566,0.9889864118836106,-0.0796462100797235,0.08077603481769813
