model,term,estimate,std_error,statistic,p_value,conf_low,conf_high
Risky-choice probit mixed model,(Intercept),-0.1797129817432465,0.0266399488855475,-6.745995741783988,1.519810766030442e-11,-0.23192728155891962,-0.1274986819275734
Risky-choice probit mixed model,V_risky_z,0.5060296388305966,0.07792433057258358,6.493859300584546,8.366489040497366e-11,0.3532979509083328,0.6587613267528604
Risky-choice probit mixed model,RU_risky_z,0.44196699322046595,0.06570283526281491,6.726756789909811,1.7348635188764258e-11,0.3131894361053488,0.5707445503355831
Risky-choice probit mixed model,VTU_risky_z,-0.030513793113677377,0.04211871080179426,-0.7244712037192147,0.4687764997663196,-0.11306646628519412,0.052038880057839375
Risky-choice probit mixed model,feedback_typefull,-0.17899455062231223,0.12869659013544707,-1.390825898603288,0.16427822759218877,-0.43123986728778846,0.073250766043164
Risky-choice probit mixed model,pressuretp,0.031065278356326404,0.019090923648268015,1.6272276254766092,0.10368876256488854,-0.006352931994278905,0.06848348870693172
Risky-choice probit mixed model,frameaccept,-0.05285528948490701,0.019071754201970985,-2.7713910805039967,0.005581734286308232,-0.09023592772077013,-0.015474651249043882
Risky-choice probit mixed model,V_risky_z:feedback_typefull,-0.19547610040011087,0.11325714303495855,-1.7259494206009962,0.08435651259668188,-0.4174601007486296,0.02650789994840788
Risky-choice probit mixed model,V_risky_z:pressuretp,-0.14076828448147485,0.07915970840059529,-1.7782819988308125,0.07535755132682585,-0.2959213129466416,0.014384743983691911
Risky-choice probit mixed model,V_risky_z:frameaccept,0.06782152424029025,0.08025911821807119,0.8450320131354186,0.3980929653689619,-0.08948634746712927,0.22512939594770978
Risky-choice probit mixed model,RU_risky_z:feedback_typefull,-7.88510555751403,2.426086942613485,-3.2501331337366897,0.001153509932149849,-12.64023596503646,-3.1299751499915995
Risky-choice probit mixed model,RU_risky_z:pressuretp,-0.08971031457895191,0.06969263666120151,-1.2872280182921305,0.19801482420457614,-0.22630788243490685,0.046887253277003035
Risky-choice probit mixed model,RU_risky_z:frameaccept,0.013849130840718043,0.07025905517712323,0.19711524451623144,0.8437373540650484,-0.12385861730644349,0.15155687898787956
Risky-choice probit mixed model,VTU_risky_z:feedback_typefull,0.019421844092449618,0.051137779304302175,0.3797944368463352,0.7040980122343785,-0.08080820334398264,0.11965189152888189
Risky-choice probit mixed model,VTU_risky_z:pressuretp,0.04626637905975121,0.04014060171890899,1.1526080098085962,0.24907131409034566,-0.03240920030931042,0.12494195842881284
Risky-choice probit mixed model,VTU_risky_z:frameaccept,0.02668905068942376,0.04023688656192846,0.6632981070328772,0.5071396486987967,-0.052175246971956024,0.10555334835080354
