contrast,component,label,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
Full - Partial,Risky-choice bias,Full - Partial,-0.17899455062231223,0.12869659013544707,-1.390825898603288,0.16427822759218877,-0.43123986728778846,0.073250766043164,TRUE
Full - Partial,Value slope (V_risky),Full - Partial,-0.19547610040011087,0.11325714303495855,-1.7259494206009962,0.08435651259668188,-0.4174601007486296,0.02650789994840788,TRUE
Full - Partial,Relative uncertainty slope (RU_risky),Full - Partial,-7.88510555751403,2.426086942613485,-3.2501331337366897,0.001153509932149849,-12.64023596503646,-3.1299751499915995,FALSE
Full - Partial,Value / total uncertainty slope (VTU_risky),Full - Partial,0.019421844092449618,0.051137779304302175,0.3797944368463352,0.7040980122343785,-0.08080820334398264,0.11965189152888189,TRUE
TP - NoTP,Risky-choice bias,TP - NoTP,0.031065278356326404,0.019090923648268015,1.6272276254766092,0.10368876256488854,-0.006352931994278905,0.06848348870693172,TRUE
TP - NoTP,Value slope (V_risky),TP - NoTP,-0.14076828448147485,0.07915970840059529,-1.7782819988308125,0.07535755132682585,-0.2959213129466416,0.014384743983691911,TRUE
TP - NoTP,Relative uncertainty slope (RU_risky),TP - NoTP,-0.08971031457895191,0.06969263666120151,-1.2872280182921305,0.19801482420457614,-0.22630788243490685,0.046887253277003035,TRUE
TP - NoTP,Value / total uncertainty slope (VTU_risky),TP - NoTP,0.04626637905975121,0.04014060171890899,1.1526080098085962,0.24907131409034566,-0.03240920030931042,0.12494195842881284,TRUE
Accept - Reject,Risky-choice bias,Accept - Reject,-0.05285528948490701,0.019071754201970985,-2.7713910805039967,0.005581734286308232,-0.09023592772077013,-0.015474651249043882,FALSE
Accept - Reject,Value slope (V_risky),Accept - Reject,0.06782152424029025,0.08025911821807119,0.8450320131354186,0.3980929653689619,-0.08948634746712927,0.22512939594770978,TRUE
Accept - Reject,Relative uncertainty slope (RU_risky),Accept - Reject,0.013849130840718043,0.07025905517712323,0.19711524451623144,0.8437373540650484,-0.12385861730644349,0.15155687898787956,TRUE
Accept - Reject,Value / total uncertainty slope (VTU_risky),Accept - Reject,0.02668905068942376,0.04023688656192846,0.6632981070328772,0.5071396486987967,-0.052175246971956024,0.10555334835080354,TRUE
