task,pair,participant_index,correlation
FullcrossNoTimelimited,alpha_a vs alpha_b,1,-0.5139949727449482
FullcrossNoTimelimited,alpha_a vs alpha_b,2,-0.5269554494533848
FullcrossNoTimelimited,alpha_a vs alpha_b,3,-0.510759621116912
FullcrossNoTimelimited,alpha_a vs alpha_b,4,-0.5016629384770696
FullcrossNoTimelimited,alpha_a vs alpha_b,5,-0.48331309994034977
FullcrossNoTimelimited,alpha_a vs alpha_b,6,-0.5039874379804814
FullcrossNoTimelimited,alpha_a vs alpha_b,7,-0.47547949445338905
FullcrossNoTimelimited,alpha_a vs alpha_b,8,-0.5193306714381111
FullcrossNoTimelimited,alpha_a vs alpha_b,9,-0.5144596704230088
FullcrossNoTimelimited,alpha_a vs alpha_b,10,-0.5685410844277922
FullcrossNoTimelimited,alpha_a vs alpha_b,11,-0.4536803526204689
FullcrossNoTimelimited,alpha_a vs alpha_b,12,-0.47826221288108023
FullcrossNoTimelimited,alpha_a vs alpha_b,13,-0.4991776701644698
FullcrossNoTimelimited,alpha_a vs alpha_b,14,-0.4919573385195639
FullcrossNoTimelimited,alpha_a vs alpha_b,15,-0.4710867983194335
FullcrossNoTimelimited,alpha_a vs alpha_b,16,-0.47902107532701677
FullcrossNoTimelimited,alpha_a vs alpha_b,17,-0.5029927667634486
FullcrossNoTimelimited,alpha_a vs alpha_b,18,-0.48549764975675264
FullcrossNoTimelimited,alpha_a vs alpha_b,19,-0.4952987014771189
FullcrossNoTimelimited,alpha_a vs alpha_b,20,-0.45579205894894376
FullcrossNoTimelimited,alpha_a vs alpha_b,21,-0.47978050072119066
FullcrossNoTimelimited,alpha_a vs alpha_b,22,-0.4924037343471606
FullcrossNoTimelimited,alpha_a vs alpha_b,23,-0.4741210219806397
FullcrossNoTimelimited,alpha_a vs alpha_b,24,-0.4658647094662662
FullcrossNoTimelimited,alpha_a vs alpha_b,25,-0.4613397106498795
FullcrossNoTimelimited,alpha_a vs alpha_b,26,-0.5054000406988547
FullcrossNoTimelimited,alpha_a vs alpha_b,27,-0.46566079936992993
FullcrossNoTimelimited,alpha_a vs alpha_b,28,-0.5439969426791759
FullcrossNoTimelimited,alpha_a vs alpha_b,29,-0.533630990420117
FullcrossNoTimelimited,alpha_a vs alpha_b,30,-0.46176552643953367
FullcrossNoTimelimited,alpha_a vs alpha_b,31,-0.5096130099508582
FullcrossNoTimelimited,alpha_a vs alpha_b,32,-0.5177996428844891
FullcrossNoTimelimited,alpha_a vs alpha_b,33,-0.5158780861738818
FullcrossNoTimelimited,alpha_a vs alpha_b,34,-0.5073215212930959
FullcrossNoTimelimited,alpha_a vs alpha_b,35,-0.4990337774286484
FullcrossNoTimelimited,alpha_a vs alpha_b,36,-0.49517886862681565
FullcrossNoTimelimited,alpha_a vs alpha_b,37,-0.47565868400120837
FullcrossNoTimelimited,alpha_a vs alpha_b,38,-0.49871450215385565
FullcrossNoTimelimited,alpha_a vs alpha_b,39,-0.47595134388572236
FullcrossNoTimelimited,alpha_a vs alpha_b,40,-0.518727018744192
FullcrossNoTimelimited,alpha_a vs alpha_b,41,-0.5343631897600692
FullcrossNoTimelimited,alpha_a vs alpha_b,42,-0.5140588631735151
FullcrossNoTimelimited,alpha_a vs alpha_b,43,-0.48386037247398933
FullcrossNoTimelimited,alpha_a vs alpha_b,44,-0.4459685677059639
FullcrossNoTimelimited,alpha_a vs alpha_b,45,-0.4656615847160819
FullcrossNoTimelimited,alpha_a vs alpha_b,46,-0.5098317801523333
FullcrossNoTimelimited,alpha_a vs alpha_b,47,-0.4903333965558567
FullcrossNoTimelimited,alpha_a vs alpha_b,48,-0.5038123703294018
FullcrossNoTimelimited,alpha_a vs alpha_b,49,-0.4829753074128488
FullcrossNoTimelimited,alpha_a vs alpha_b,50,-0.5046544883475262
FullcrossNoTimelimited,alpha_a vs alpha_b,51,-0.5394321256892761
FullcrossNoTimelimited,alpha_a vs alpha_b,52,-0.47198803275141715
FullcrossNoTimelimited,alpha_a vs alpha_b,53,-0.5161688569913001
FullcrossNoTimelimited,alpha_a vs alpha_b,54,-0.47888667380880545
FullcrossNoTimelimited,alpha_a vs alpha_b,55,-0.4848787422125358
FullcrossNoTimelimited,alpha_a vs alpha_b,56,-0.4832000477714721
FullcrossNoTimelimited,alpha_a vs alpha_b,57,-0.4973373163762377
FullcrossNoTimelimited,alpha_a vs alpha_b,58,-0.49291490219096046
FullcrossNoTimelimited,alpha_a vs alpha_b,59,-0.46369643527675836
FullcrossNoTimelimited,alpha_a vs alpha_b,60,-0.47953760906583204
