effect,contrast,parameter,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
Choice Frame,Accept - Reject,alpha_a,0.5722301768281168,0.581677294967906,-0.009447118139789162,-1.141686301439146,1.0486481947763069,TRUE,Crosses 0,0.993
Choice Frame,Accept - Reject,alpha_b,0.5656305990683871,0.5697481864787524,-0.0041175874103652164,-1.079924490318438,1.0510946012722022,TRUE,Crosses 0,0.9955
Choice Frame,Accept - Reject,beta_a,0.49218569765557824,0.24620660363275185,0.24597909402282642,-0.7516293224895915,1.2457787071284343,TRUE,Crosses 0,0.621
Choice Frame,Accept - Reject,beta_b,0.49073159935525107,0.22407575595112125,0.2666558434041298,-0.731439147935449,1.2643049603133745,TRUE,Crosses 0,0.5925
Choice Frame,Accept - Reject,gamma_a,-0.006397808919028387,0.057597272629097473,-0.06399508154812586,-0.5529985948128656,0.45861619463471454,TRUE,Crosses 0,0.781
Choice Frame,Accept - Reject,gamma_b,0.005490158667293554,0.053762351217955,-0.04827219255066145,-0.5640184001046142,0.4388646870867432,TRUE,Crosses 0,0.859
Feedback,Full - Partial,alpha_a,0.7987488793260658,0.3551585924699571,0.4435902868561087,-0.6341923879153658,1.5150895796105668,TRUE,Crosses 0,0.429
Feedback,Full - Partial,alpha_b,0.799769302870006,0.3356094826771335,0.46415982019287255,-0.6105935270258976,1.5563973675749945,TRUE,Crosses 0,0.397
Feedback,Full - Partial,beta_a,0.10288764206956014,0.63550465921877,-0.5326170171492098,-1.5253193043517712,0.4855861717231748,TRUE,Crosses 0,0.301
Feedback,Full - Partial,beta_b,0.0971732762370018,0.6176340790693705,-0.5204608028323687,-1.5251640121618453,0.4771358288091143,TRUE,Crosses 0,0.3135
Feedback,Full - Partial,gamma_a,0.007040530374175764,0.044158933335893324,-0.03711840296171756,-0.5303076807162027,0.45280501736569523,TRUE,Crosses 0,0.868
Feedback,Full - Partial,gamma_b,0.01482297888568276,0.0444295309995658,-0.029606552113883036,-0.5195730744641059,0.4624686831797995,TRUE,Crosses 0,0.896
Time Pressure,TP - No TP,alpha_a,0.5056323998297576,0.6482750719662652,-0.14264267213650758,-1.2001424125453597,0.9337702898622849,TRUE,Crosses 0,0.793
Time Pressure,TP - No TP,alpha_b,0.48332697741029446,0.652051808136845,-0.1687248307265505,-1.2555563753295116,0.8885159037518425,TRUE,Crosses 0,0.774
Time Pressure,TP - No TP,beta_a,0.3688467015962636,0.3695455996920665,-6.98898095802947e-4,-0.9731456614253131,1.01359703408117,TRUE,Crosses 0,0.9895
Time Pressure,TP - No TP,beta_b,0.3654467737982752,0.34936058150809707,0.016086192290178204,-0.9978261418900947,0.9943920393243055,TRUE,Crosses 0,0.945
Time Pressure,TP - No TP,gamma_a,0.06632697134634366,-0.015127507636274573,0.08145447898261823,-0.4045551267642783,0.5775795444893173,TRUE,Crosses 0,0.753
Time Pressure,TP - No TP,gamma_b,0.06803706897751233,-0.008784559092263776,0.0768216280697761,-0.41383193950582153,0.5606953539220724,TRUE,Crosses 0,0.7765
