task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.7227708333333334,0.725,0.625,0.8
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.5193958333333334,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.5581458333333333,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.9020416666666666,0.925,0.8,0.975
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.5469791666666667,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.5111666666666667,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.7022291666666667,0.7,0.6,0.8
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.5009583333333333,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.5506666666666666,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.6887291666666666,0.7,0.6,0.775
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.8955416666666667,0.9,0.8,0.975
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.5042291666666666,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.5101458333333333,0.525,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.5030625,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.527375,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5078125,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5664375,0.575,0.45,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.7220208333333333,0.725,0.625,0.825
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.602,0.6,0.5,0.7
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.5319166666666667,0.525,0.425,0.625
