task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.5063125,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.510375,0.5,0.425,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.5666458333333333,0.575,0.45,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.8510833333333333,0.85,0.75,0.95
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.515,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.56725,0.575,0.45,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.5087916666666666,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.5107708333333333,0.5,0.425,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.5597916666666667,0.55,0.475,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.5133541666666667,0.525,0.4,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.5069166666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.49775,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.5760833333333333,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.7150833333333333,0.725,0.625,0.8
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.5926875,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5931875,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5664791666666666,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.5787083333333334,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.557,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.5229375,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,0.48954166666666665,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,0.6884375,0.7,0.575,0.775
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,0.5235625,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,0.5885416666666666,0.6,0.5,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,0.61175,0.625,0.525,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,0.6092083333333334,0.625,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,0.49675,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,0.5536666666666666,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,0.4935833333333333,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,0.52,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,0.5086875,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,0.5003541666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,0.589125,0.575,0.49750000000000016,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,0.5541458333333333,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,0.7252083333333333,0.725,0.625,0.825
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,0.7847291666666667,0.8,0.7,0.875
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,0.5986458333333333,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,0.5176875,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,0.5222083333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,0.5278958333333333,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,0.5117291666666667,0.5,0.425,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,0.5636458333333333,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,0.5280208333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,0.6011458333333334,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,0.5051458333333333,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,0.5292291666666666,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,0.5248125,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,0.4990833333333333,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,0.570375,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,0.528125,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,0.5989583333333334,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,0.5147291666666667,0.525,0.425,0.6025000000000034
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,0.611375,0.625,0.525,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,0.5080416666666666,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,0.497125,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,0.736875,0.75,0.65,0.825
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,0.5063541666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,0.5384375,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,0.5888333333333333,0.6,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,0.5144791666666667,0.5,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,0.6305,0.625,0.525,0.725
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,0.5232083333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,0.6411041666666667,0.65,0.525,0.75
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,0.578125,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,0.6521041666666667,0.65,0.55,0.75
