task,feedback,timepressure,choice_frame,parameter,mean,median,q025,q975
FullcrossNoTimelimited,Full,No TP,Reject,alpha_pop,0.8465620411057428,0.8516766801474367,0.7239457496152718,0.9446503187070073
FullcrossNoTimelimited,Full,No TP,Reject,beta_pop,1.2564018418837244,1.2552032744784305,0.7568596889854763,1.7969491181484514
FullcrossNoTimelimited,Full,No TP,Reject,gamma_pop,-0.0456259329040755,-0.046740621123413914,-0.20582137588475313,0.11579950033200712
FullcrossTimelimited,Full,TP,Reject,alpha_pop,0.7465549551329714,0.7568932673445121,0.4932080557020719,0.9160226655432667
FullcrossTimelimited,Full,TP,Reject,beta_pop,0.9396253310236432,0.883521999016232,0.4634792163687157,1.7096334806039393
FullcrossTimelimited,Full,TP,Reject,gamma_pop,0.07305958501963923,0.07693139702452498,-0.1271659522735155,0.2644546494823238
FulltickNoTimelimited,Full,No TP,Accept,alpha_pop,0.7385577651033259,0.7553212350724421,0.4761697476132206,0.9047419247009177
FulltickNoTimelimited,Full,No TP,Accept,beta_pop,1.439297378279436,1.3495477975706534,0.729685372472749,2.786043514487848
FulltickNoTimelimited,Full,No TP,Accept,gamma_pop,-0.06256282385742744,-0.0625686745815767,-0.24150471962090173,0.1121688983564633
FulltickTimelimited,Full,TP,Accept,alpha_pop,0.8241349643168242,0.8276290984521875,0.6996932293445157,0.9350935935172036
FulltickTimelimited,Full,TP,Accept,beta_pop,1.5419422530454419,1.5307018094155063,0.9574481199968902,2.1839349168025715
FulltickTimelimited,Full,TP,Accept,gamma_pop,0.10126849873475771,0.1030298215509538,-0.09752790647929657,0.2978084381076907
PartialcrossNoTimelimited,Partial,No TP,Reject,alpha_pop,0.7668262617259813,0.7699917316955276,0.6095943395013499,0.8989598796836622
PartialcrossNoTimelimited,Partial,No TP,Reject,beta_pop,2.2478150687777134,2.1992479809132606,1.340311884793897,3.4153623663044015
PartialcrossNoTimelimited,Partial,No TP,Reject,gamma_pop,0.06799923138569397,0.07002713813578032,-0.1245137650407033,0.24911496461448426
PartialcrossTimelimited,Partial,TP,Reject,alpha_pop,0.4363786035728847,0.4021166883333709,0.1797311635370587,0.8225240166023785
PartialcrossTimelimited,Partial,TP,Reject,beta_pop,3.288571782265825,3.2485276259444396,1.1492328877578644,5.741361466721758
PartialcrossTimelimited,Partial,TP,Reject,gamma_pop,0.33304241896897135,0.33353938046856024,0.14646484405368632,0.5241226106075203
PartialtickNoTimelimited,Partial,No TP,Accept,alpha_pop,0.6514100467592372,0.6524101175301399,0.528078298195869,0.7637811602255196
PartialtickNoTimelimited,Partial,No TP,Accept,beta_pop,4.421489399966833,4.357989777657627,3.1381205412129582,5.957985021878106
PartialtickNoTimelimited,Partial,No TP,Accept,gamma_pop,-0.042343293497243625,-0.04111572196565219,-0.2321842821997951,0.14452192114091644
PartialtickTimelimited,Partial,TP,Accept,alpha_pop,0.7214307401160089,0.7253786321033062,0.5844035514544409,0.8357480297400273
PartialtickTimelimited,Partial,TP,Accept,beta_pop,4.919410656472654,4.862156602986719,3.600113042795558,6.522225708923067
PartialtickTimelimited,Partial,TP,Accept,gamma_pop,0.008220824010542823,0.008958541590538738,-0.17429299139721777,0.19208290471545167
