task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.6084166666666667,0.625,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.6092916666666667,0.625,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.5407708333333333,0.55,0.425,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.8945625,0.9,0.775,0.975
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.51375,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.576,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.5292083333333333,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.5060833333333333,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.5720208333333333,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.6600208333333333,0.65,0.55,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.5830833333333333,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.5020833333333333,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.5068125,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.5478333333333333,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.5128125,0.525,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5077083333333333,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5244583333333334,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.5548541666666666,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.5120625,0.525,0.425,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.5110625,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,0.49291666666666667,0.5,0.4,0.6
