task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.722125,0.725,0.625,0.8
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.523,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.5544166666666667,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.8985,0.9,0.8,0.975
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.5496458333333334,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.5109583333333333,0.5,0.425,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.697375,0.7,0.6,0.8
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.4979791666666667,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.5537916666666667,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.6822916666666666,0.675,0.575,0.775
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.8944166666666666,0.9,0.8,0.975
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.502,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.5111875,0.525,0.4,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.5051875,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.5246041666666666,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5127291666666667,0.525,0.425,0.6025000000000034
