task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.5084583333333333,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.5065416666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.5662291666666667,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.8830416666666666,0.9,0.8,0.975
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.516625,0.525,0.4,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.564875,0.575,0.45,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.5061875,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.5174583333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.5732916666666666,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.5210208333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.5065625,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,0.49475,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,0.5729791666666667,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,0.7296458333333333,0.725,0.625,0.825
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,0.58810416666666665,0.6,0.5,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,0.5933541666666666,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5680625,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.5731875,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.5675416666666666,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.5183125,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,0.49516666666666664,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,0.686125,0.7,0.575,0.775
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,0.5329166666666667,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,0.5863125,0.6,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,0.6113958333333334,0.625,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,0.6130833333333333,0.625,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,0.49504166666666666,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,0.5572083333333333,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,0.49452083333333335,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,0.519375,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,0.5050416666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,0.4977916666666667,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,0.5925208333333334,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,0.554,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,0.7192916666666667,0.725,0.625,0.8
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,0.798125,0.8,0.7,0.875
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,0.6258541666666667,0.625,0.525,0.725
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,0.5173958333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,0.534125,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,0.5359791666666667,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,0.5141875,0.525,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,0.55825,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,0.5384166666666667,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,0.5972708333333333,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,0.5063958333333334,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,0.52575,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,0.5249375000000001,0.525,0.425,0.625
