task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialtickNoTimelimited4060,1,0.5176488095238095,0.5178571428571429,0.42857142857142855,0.6071428571428571
PartialtickNoTimelimited4060,2,0.6132142857142857,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited4060,3,0.654360119047619,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited4060,4,0.6950446428571428,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited4060,5,0.7154166666666667,0.7142857142857143,0.6589285714285715,0.7857142857142857
PartialtickNoTimelimited4060,6,0.7335267857142858,0.7321428571428571,0.6607142857142857,0.8035714285714286
PartialtickNoTimelimited4060,7,0.6871726190476191,0.6964285714285714,0.6071428571428571,0.75
PartialtickNoTimelimited4060,8,0.7539434523809524,0.75,0.6964285714285714,0.8214285714285714
PartialtickNoTimelimited4060,9,0.7581547619047619,0.7678571428571429,0.6964285714285714,0.8214285714285714
PartialtickNoTimelimited4060,10,0.6622916666666666,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited4060,11,0.6934077380952381,0.6964285714285714,0.625,0.75
PartialtickNoTimelimited4060,12,0.700297619047619,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited4060,13,0.7047321428571428,0.7142857142857143,0.6428571428571429,0.7678571428571429
PartialtickNoTimelimited4060,14,0.6727380952380952,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited4060,15,0.7698065476190477,0.7678571428571429,0.7142857142857143,0.8214285714285714
PartialtickNoTimelimited4060,16,0.8111904761904762,0.8035714285714286,0.75,0.875
PartialtickNoTimelimited4060,17,0.8091666666666667,0.8035714285714286,0.75,0.875
PartialtickNoTimelimited4060,18,0.7798809523809523,0.7857142857142857,0.7142857142857143,0.8392857142857143
PartialtickNoTimelimited4060,19,0.7194345238095238,0.7142857142857143,0.6607142857142857,0.7678571428571429
PartialtickNoTimelimited4060,20,0.7422470238095238,0.75,0.6785714285714286,0.8035714285714286
PartialtickNoTimelimited4060,21,0.8043303571428572,0.8035714285714286,0.75,0.8571428571428571
PartialtickNoTimelimited4060,22,0.7457886904761905,0.75,0.6964285714285714,0.8035714285714286
PartialtickNoTimelimited4060,23,0.8105654761904761,0.8035714285714286,0.75,0.8571428571428571
PartialtickNoTimelimited4060,24,0.7506547619047619,0.75,0.6964285714285714,0.8035714285714286
PartialtickNoTimelimited4060,25,0.7678571428571429,0.7678571428571429,0.6964285714285714,0.8392857142857143
PartialtickNoTimelimited4060,26,0.6884077380952381,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited4060,27,0.7163392857142857,0.7142857142857143,0.6607142857142857,0.7857142857142857
PartialtickNoTimelimited4060,28,0.7401041666666667,0.75,0.6785714285714286,0.8035714285714286
PartialtickNoTimelimited4060,29,0.7673660714285714,0.7678571428571429,0.7125000000000001,0.8214285714285714
PartialtickNoTimelimited4060,30,0.740625,0.75,0.6785714285714286,0.8035714285714286
PartialtickNoTimelimited4060,31,0.7642261904761904,0.7678571428571429,0.7142857142857143,0.8214285714285714
PartialtickNoTimelimited4060,32,0.7651488095238095,0.7678571428571429,0.6964285714285714,0.8214285714285714
PartialtickNoTimelimited4060,33,0.7889880952380952,0.7857142857142857,0.7321428571428571,0.8392857142857143
PartialtickNoTimelimited4060,34,0.72,0.7142857142857143,0.6607142857142857,0.7857142857142857
PartialtickNoTimelimited4060,35,0.8308184523809524,0.8392857142857143,0.7678571428571429,0.8928571428571429
PartialtickNoTimelimited4060,36,0.8040625,0.8035714285714286,0.75,0.8571428571428571
PartialtickNoTimelimited4060,37,0.7704315476190476,0.7678571428571429,0.7142857142857143,0.8214285714285714
PartialtickNoTimelimited4060,38,0.7969345238095238,0.8035714285714286,0.75,0.8571428571428571
PartialtickNoTimelimited4060,39,0.8187797619047619,0.8214285714285714,0.7678571428571429,0.875
PartialtickNoTimelimited4060,40,0.8541666666666666,0.8571428571428571,0.8035714285714286,0.9107142857142857
