task,acc_ppc_mean,acc_prob_mean,log_loss,brier,n_divergent,max_rhat
FulltickNoTimelimited4060,0.8603163461538461,0.8911538461538462,0.20069312746154527,0.06616176609377024,0,1.0117964942439124
PartialtickNoTimelimited4060,0.7409817708333334,0.8267857142857142,0.3934981469722637,0.1244441731245418,0,1.0141939419028885
PartialtickTimelimited,0.6530234375,0.7504464285714286,0.49873470014675414,0.16554466474003915,0,1.0172746507027493
PartialtickNoTimelimited,0.643936755952381,0.7433035714285714,0.507170590263997,0.1691523787067198,0,1.039476303635848
PartialcrossTimelimited,0.6050159970238095,0.7223214285714286,0.557627509463795,0.18840924336334003,0,1.010452167233867
PartialcrossNoTimelimited,0.6219572172619048,0.7209821428571429,0.5311860954206841,0.1797940485906258,0,1.00987574161726
FulltickTimelimited,0.5851477564102564,0.6861538461538461,0.5814100483587753,0.19980845115367657,0,1.0127482994074823
FulltickNoTimelimited,0.5671089743589743,0.6734615384615384,0.6023673215627035,0.2085184114999632,0,1.0235128442762162
FullcrossNoTimelimited,0.5653179487179487,0.6580769230769231,0.6063373833323205,0.21009819752703343,4,1.061674171306667
FullcrossTimelimited,0.5690435897435897,0.6542307692307693,0.5998748085125273,0.2083660577491285,0,1.0565986036250476
