task,n_participants,n_trials,draws,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90,acc_prob_mean,acc_prob_draw_median,acc_prob_draw_lo10,acc_prob_draw_hi90,log_loss,brier,iter,warmup,chains,elapsed_sec,n_divergent,n_max_treedepth,max_rhat,min_n_eff
FullcrossNoTimelimited,65,40,1200,0.5653179487179487,0.5653846153846154,0.5523076923076923,0.5777307692307693,0.6580769230769231,0.6384615384615384,0.6296153846153846,0.6465384615384615,0.6063373833323205,0.21009819752703343,1200,600,2,244.46124505996704,4,0,1.061674171306667,46.068564868385245
FullcrossTimelimited,65,40,1200,0.5690435897435897,0.5688461538461539,0.5557692307692308,0.5819615384615385,0.6542307692307693,0.6357692307692308,0.6273076923076923,0.6434615384615384,0.5998748085125273,0.2083660577491285,1200,600,2,348.8511338233948,0,0,1.0565986036250476,49.60293372055156
FulltickNoTimelimited,65,40,1200,0.5671089743589743,0.566923076923077,0.555,0.58,0.6734615384615384,0.6442307692307693,0.6346153846153846,0.6523076923076923,0.6023673215627035,0.2085184114999632,1200,600,2,283.74298191070557,0,0,1.0235128442762162,64.1995925051446
FulltickNoTimelimited4060,65,40,1200,0.8603163461538461,0.8607692307692307,0.8523076923076923,0.8676923076923077,0.8911538461538462,0.8861538461538462,0.8815384615384615,0.8915384615384615,0.20069312746154527,0.06616176609377024,1200,600,2,151.54299187660217,0,0,1.0117964942439124,172.7002030657534
FulltickTimelimited,65,40,1200,0.5851477564102564,0.585,0.5726923076923077,0.5973461538461539,0.6861538461538461,0.6607692307692308,0.6515384615384615,0.6688461538461539,0.5814100483587753,0.19980845115367657,1200,600,2,147.79537320137024,0,0,1.0127482994074823,136.49719217969073
PartialcrossNoTimelimited,56,40,1200,0.6219572172619048,0.621875,0.6080357142857142,0.6357142857142857,0.7209821428571429,0.7017857142857142,0.6919642857142857,0.7107142857142857,0.5311860954206841,0.1797940485906258,1200,600,2,152.9259958267212,0,0,1.0098757416172601,205.0029550881089
PartialcrossTimelimited,56,40,1200,0.6050159970238095,0.6049107142857143,0.5919196428571429,0.6183035714285714,0.7223214285714286,0.6955357142857143,0.6866071428571429,0.703125,0.557627509463795,0.18840924336334003,1200,600,2,136.3819921016693,0,0,1.0104521672338673,56.8476646808604
PartialtickNoTimelimited,56,40,1200,0.643936755952381,0.6439732142857143,0.6312053571428571,0.6566964285714286,0.7433035714285714,0.7267857142857143,0.7178571428571429,0.734375,0.507170590263997,0.1691523787067198,1200,600,2,126.08097004890442,0,0,1.0394763036358479,79.63457834505658
PartialtickNoTimelimited4060,56,40,1200,0.7409817708333334,0.7410714285714286,0.7290178571428572,0.7522321428571429,0.8267857142857142,0.8227678571428572,0.8183035714285715,0.8267857142857142,0.39349814697226365,0.12444417312454181,1200,600,2,126.75846314430237,0,0,1.0141939419028885,175.8690288623223
PartialtickTimelimited,56,40,1200,0.6530234375,0.6526785714285714,0.6388392857142857,0.6669642857142857,0.7504464285714286,0.7370535714285714,0.7299107142857143,0.7446428571428572,0.49873470014675414,0.16554466474003915,1200,600,2,159.10838294029236,0,0,1.0172746507027493,178.22362365601032
