task,parameter,mean,q025,q975
FullcrossNoTimelimited,alpha_neg_pop,0.8045708276891567,0.6386227344395918,0.929745272545598
FulltickNoTimelimited,alpha_neg_pop,0.7862750096919083,0.5572215556571339,0.9383113879498256
FulltickTimelimited,alpha_neg_pop,0.7628762334097627,0.6028094880255621,0.9093103182414786
PartialtickNoTimelimited4060,alpha_neg_pop,0.7571049915105618,0.4922673724631545,0.9413453721046858
PartialtickTimelimited,alpha_neg_pop,0.7382311139716663,0.6125613828154448,0.860626296540967
FullcrossTimelimited,alpha_neg_pop,0.7173756621392002,0.49226414827710274,0.9064967742812582
PartialcrossNoTimelimited,alpha_neg_pop,0.7159080616405048,0.5751133902933032,0.8521469457728184
PartialcrossTimelimited,alpha_neg_pop,0.6613375581164113,0.445718617588075,0.8501586770911199
PartialtickNoTimelimited,alpha_neg_pop,0.6462302011612098,0.5413183449187441,0.7659236411799308
FulltickNoTimelimited4060,alpha_neg_pop,0.07596814088356553,0.02406534626360583,0.17933157235234726
FulltickTimelimited,alpha_pos_pop,0.8451688048388258,0.7204207530596404,0.952240059654086
PartialcrossNoTimelimited,alpha_pos_pop,0.8376173959339834,0.675126389699863,0.9530086001046618
FullcrossNoTimelimited,alpha_pos_pop,0.8135765167640446,0.6752845876149893,0.9368925226504736
PartialtickTimelimited,alpha_pos_pop,0.767261877652778,0.5890894470859124,0.9088735370375318
FullcrossTimelimited,alpha_pos_pop,0.7413557157074877,0.5519110517585951,0.9120579995995864
FulltickNoTimelimited,alpha_pos_pop,0.6668628202961661,0.5143065337702073,0.8232937574628666
PartialtickNoTimelimited,alpha_pos_pop,0.6216385086620128,0.44054197520910554,0.8004525136537342
PartialtickNoTimelimited4060,alpha_pos_pop,0.6195854060621255,0.29018468890011556,0.8862259908363664
PartialcrossTimelimited,alpha_pos_pop,0.5488706420820615,0.2912414728231911,0.8522119296730697
FulltickNoTimelimited4060,alpha_pos_pop,0.07579146600729586,0.02811271058266503,0.16627154564924188
FulltickNoTimelimited4060,mu_beta_slope,1.744030618085494,1.0916289161026351,2.493493839291302
FullcrossTimelimited,mu_beta_slope,0.7637461777059111,0.0412047498970399,1.474910750510133
FulltickTimelimited,mu_beta_slope,0.4844397122211644,-0.03972507191873396,1.0214484464860958
PartialtickNoTimelimited4060,mu_beta_slope,0.41294111499087055,0.03647417942108462,0.8121768536394876
FullcrossNoTimelimited,mu_beta_slope,0.2908936083125939,-0.2380967500573264,0.8537611334571189
FulltickNoTimelimited,mu_beta_slope,0.22976119209290852,-0.29202693359200016,0.7622994133795677
PartialcrossTimelimited,mu_beta_slope,0.13815385673053318,-0.3698527758896427,0.642649514554611
PartialtickTimelimited,mu_beta_slope,0.01258628675520538,-0.36252272628621657,0.3780087018195152
PartialtickNoTimelimited,mu_beta_slope,-0.01091530097120247,-0.4178999403723511,0.36902567560452354
PartialcrossNoTimelimited,mu_beta_slope,-0.33997802682129924,-0.8035922728933453,0.12450634346975097
