parameter,task_a,task_b,n_draws_used,diff_mean,diff_median,diff_q025,diff_q10,diff_q90,diff_q975,p_diff_gt_0,posterior_tail_p
alpha_neg_pop,FullcrossNoTimelimited,FulltickNoTimelimited4060,1200,0.7286026868055911,0.7346114826697074,0.5374311291168278,0.6060679164340639,0.8364365634812678,0.8714887726438354,1,0
alpha_neg_pop,FulltickNoTimelimited,FulltickNoTimelimited4060,1200,0.7103068688083428,0.724664975318505,0.4631992620496304,0.5631362717545069,0.8359999393191053,0.8816826129741281,1,0
alpha_neg_pop,FulltickNoTimelimited4060,FulltickTimelimited,1200,-0.6869080925261972,-0.687073021656491,-0.8560384454139914,-0.7975498081214837,-0.5777039976980567,-0.5105212502662612,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialtickNoTimelimited4060,1200,-0.6811368506269962,-0.6961251055939551,-0.8779381392857663,-0.8331667044575359,-0.5157452862370189,-0.4036043505434637,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialtickTimelimited,1200,-0.6622629730881008,-0.666355184379058,-0.8044054216324221,-0.758877589116869,-0.5679125083829467,-0.49820238616309626,0,0
alpha_neg_pop,FullcrossTimelimited,FulltickNoTimelimited4060,1200,0.6414075212556347,0.6473272101809889,0.3971235507758774,0.4850101713159484,0.7817088003568511,0.8477199893955314,1,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialcrossNoTimelimited,1200,-0.6399399207569393,-0.6445752194765559,-0.7997436834917839,-0.7451388079544188,-0.5299120448372919,-0.47528822487126887,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialcrossTimelimited,1200,-0.5853694172328457,-0.5914465111889949,-0.7844534803864619,-0.7316140109294453,-0.43408941238383353,-0.36023397384358435,0,0
alpha_pos_pop,FulltickNoTimelimited4060,FulltickTimelimited,1200,-0.7693773388315299,-0.7736146351725094,-0.8964184427878398,-0.8580379631864767,-0.6792318369786234,-0.6212726198614898,0,0
alpha_pos_pop,FulltickNoTimelimited4060,PartialcrossNoTimelimited,1200,-0.7618259299266876,-0.7707503223522478,-0.8937421445453787,-0.8611669403629622,-0.6524734370452177,-0.5815514254278877,0,0
