task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FulltickTimelimited,mu_log_beta0,0.22083526285123903,0.01174378767044667,0.2674841082364076,-0.3552306160503476,0.05334473933068869,0.24165960685245264,0.40059689298806167,0.6932138221192997,518.7756564123603,1.0010680561606407
FulltickTimelimited,mu_beta_slope,0.4844397122211644,0.010021181338244256,0.2706951678245872,-0.039725071918733965,0.2964822052503195,0.4836610594635137,0.6714088264290555,1.0214484464860958,729.6644114622776,1.0007878644425034
FulltickTimelimited,mu_gamma,0.07741645068635415,0.006251810291755356,0.1026011657440438,-0.12066403554208784,0.0075128426812580695,0.07964903807227203,0.14311531076895045,0.2734059907260986,269.33513317748987,1.000075422265006
FulltickTimelimited,mu_bias,0.015839636129619115,0.001204323254980893,0.02629412461906949,-0.0382321319072732,-0.0019775296727197636,0.0165478208454614,0.034334875049480726,0.06495243923189276,476.68478355183555,1.0046015364501661
FulltickTimelimited,mu_alpha_pos_logit,1.7839617257242182,0.01651983722395,0.521111443428466,0.9465496879263754,1.419413456951656,1.7281037748503425,2.0776468202590714,2.9926311966061685,995.0609724061073,1.0043012527460973
FulltickTimelimited,mu_alpha_neg_logit,1.2299317224178912,0.02297654963170488,0.4922722883205259,0.4171852496378489,0.8849957299097754,1.1758081418286734,1.499919531946745,2.3052437311367053,459.0300887562173,1.0035559533966798
FulltickTimelimited,sigma_log_beta0,0.9887478161999474,0.009977627783603081,0.17444697914259533,0.6817612696155858,0.8642038266265888,0.9820971719879468,1.0936560494898284,1.361545071362564,305.68371978926876,1.0002404585300202
FulltickTimelimited,sigma_beta_slope,0.3837721171045526,0.015944258219221876,0.23558017121873118,0.016649668988240385,0.19943652773821516,0.3566852591206575,0.55231431726996,0.8679841685206279,218.3075862246461,1.0004871058155351
FulltickTimelimited,sigma_gamma,0.7182578679227934,0.005176697508378877,0.09596732790950914,0.5424540429743998,0.6505673208426604,0.7131822195284734,0.7784938360263514,0.9171474111731395,343.6696877048095,1.0024226572509611
FulltickTimelimited,sigma_bias,0.044231060358654074,0.0018556725342575055,0.032737010623838665,0.0014355233794712922,0.017351374291439025,0.03824824164185263,0.06409227141875899,0.1183030099034979,311.22563308549354,1.007910998787329
FulltickTimelimited,sigma_alpha_pos,0.45262334484482647,0.013274970971948541,0.3529122206233728,0.015360520221537584,0.17814545649975694,0.3678324485953117,0.6525753982446355,1.3071336886362668,706.7506791578925,1.0002745144670326
FulltickTimelimited,sigma_alpha_neg,0.749435425489962,0.04118998870663176,0.5176848868767157,0.0353528333879234,0.30500133867398616,0.6673872187129057,1.1391398596945093,1.791253189449448,157.9601826591334,1.0068719551750944
