task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialtickNoTimelimited,mu_log_beta0,1.6900518748561526,0.008739537526749623,0.1681458443311682,1.3522299868611525,1.5824467788759908,1.6995624507397937,1.8041542040783414,2.0067069592059354,370.16501778656834,1.00602111175204
PartialtickNoTimelimited,mu_beta_slope,-0.010915300971202479,0.007066958727357975,0.20091222508937515,-0.4178999403723511,-0.13182340815300458,-0.008524259145194928,0.11975090794125813,0.36902567560452354,808.2535430240315,1.0019609265304625
PartialtickNoTimelimited,mu_gamma,-0.11623917408532745,0.004655585825936261,0.10320393709434875,-0.3067209809623276,-0.18618675712184227,-0.11658000044754249,-0.043711870535579525,0.08417074812301542,491.4098485934579,0.9989147719079732
PartialtickNoTimelimited,mu_bias,0.027793005520915792,0.001653093890637039,0.04148590310514926,-0.05021859360365787,4.994285264588177e-4,0.026998305388066284,0.056332840114943356,0.1106518150303049,629.8049296086832,1.0011513492923239
PartialtickNoTimelimited,mu_alpha_pos_logit,0.5182161742724314,0.01630337739143862,0.41645462403159944,-0.23896283830471662,0.23194540268618047,0.485252466264926,0.7835566038642321,1.3891249864809423,652.4995457202666,0.9997489441256294
PartialtickNoTimelimited,mu_alpha_neg_logit,0.6123220230770924,0.011443178339167404,0.255069909549622,0.16565113855021513,0.442410341941453,0.5991383418065708,0.7613500838613736,1.1854351012872506,496.8498048646241,1.0008386924607005
PartialtickNoTimelimited,sigma_log_beta0,0.5674545821200663,0.014300136847466265,0.16311412504056905,0.15120251998771977,0.4772890896656342,0.5772171349930604,0.6734597500993169,0.8642446110506229,130.107626608642,1.006008453637264
PartialtickNoTimelimited,sigma_beta_slope,0.3500204753116972,0.01630385096515105,0.21813267638489464,0.02602297931591441,0.1719536852120125,0.33096609116420395,0.4986237456558097,0.8210659212172827,179.003310303765,1.0038906094587279
PartialtickNoTimelimited,sigma_gamma,0.6224061828024363,0.006296350894240975,0.10183918502402516,0.4271353344525185,0.5521029178966641,0.6187179523547224,0.6862006918311044,0.8352064238477186,261.6085803410622,1.0142240663582227
PartialtickNoTimelimited,sigma_bias,0.10493236508811471,0.0052226472754353746,0.0627444726840363,0.006310935546253811,0.05284598855880059,0.1011116773380455,0.15128124896133582,0.22790090840113134,144.33430196289297,1.0179864374953178
PartialtickNoTimelimited,sigma_alpha_pos,1.589200308569857,0.012094254908614464,0.37376110423254605,0.9369167653898227,1.323666304415362,1.5602165003847688,1.8167707882179085,2.390463263615479,955.0584963747884,0.9993347213530389
PartialtickNoTimelimited,sigma_alpha_neg,0.46605545402160736,0.03761265882417942,0.33564862858007016,0.016272000340370327,0.18853356503941765,0.4163166038450985,0.6939767447250185,1.2022678179168993,79.63457834505658,1.0394763036358479
