task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialtickTimelimited,mu_log_beta0,1.5705698239835766,0.007070816829137988,0.17386754046375325,1.2503238014055005,1.450648265524688,1.576546624929486,1.6868465951628004,1.899851767093854,604.6413544412164,1.0037098850116202
PartialtickTimelimited,mu_beta_slope,0.012586286755205383,0.004990862182984181,0.18929480183623626,-0.36252272628621657,-0.10747707194969526,0.014057501151616194,0.13510243929426757,0.3780087018195152,1438.5541732561558,0.9983953752913872
PartialtickTimelimited,mu_gamma,-0.04388439227175957,0.0033391371923324003,0.09549142406595952,-0.2340463767412709,-0.10507231773466916,-0.04239861728776688,0.0160227552653372,0.15265704608966726,817.8246834817556,1.0005395493218872
PartialtickTimelimited,mu_bias,0.03772458348691439,0.001485767955360056,0.045615056865007206,-0.05674642878732272,0.0088187854850983,0.03831892352195364,0.06924474214191713,0.12385903659336223,942.571852389355,0.9998266362687827
PartialtickTimelimited,mu_alpha_pos_logit,1.2543199804040772,0.021453036496510803,0.48783319907486056,0.36020269337433813,0.90856987852729,1.238638061177439,1.5610910650810048,2.299957717221822,517.0888365363738,1.0044582803222655
PartialtickTimelimited,mu_alpha_neg_logit,1.0664042439135772,0.010276807839003197,0.3542679674623939,0.4580917660755154,0.8170224985804291,1.0443357902547237,1.2727793380014785,1.8205021473143443,1188.3580143494519,0.9991745312074154
PartialtickTimelimited,sigma_log_beta0,0.6914394936496108,0.005466427527218,0.12467790985270513,0.45741738823172917,0.6122880824080678,0.6865906564678721,0.7656740185607074,0.9655938064512435,520.2017832203542,1.014586852269619
PartialtickTimelimited,sigma_beta_slope,0.2020411279770269,0.007055370790201472,0.1493909862483792,0.011300170048070884,0.08219356034776215,0.17103774949527742,0.29499762822597325,0.5434034355750097,448.3416680899369,1.0062145481118256
PartialtickTimelimited,sigma_gamma,0.5078832348095585,0.0035463564284455014,0.09139292904327104,0.34748292174425105,0.44337410000093824,0.49870955436352016,0.5669024590981959,0.6909961576019872,664.1412076106363,0.9996559723908572
PartialtickTimelimited,sigma_bias,0.14503677655110242,0.004356311039265518,0.0618311021407039,0.016330057316733614,0.10636000043680457,0.14760782866014793,0.18537570498714245,0.2644835721780533,201.45414814810553,1.0147657745644942
PartialtickTimelimited,sigma_alpha_pos,1.0615711721636236,0.038507461528923,0.5410937531432402,0.07780065054063985,0.6660112618628732,1.0836359996927505,1.441463037722065,2.0880913649924078,197.44914603757508,1.0130595025837368
PartialtickTimelimited,sigma_alpha_neg,0.41498350082528357,0.015951525458564802,0.3086350008819273,0.012794873804240128,0.16260662711322887,0.35526316871510133,0.6183229073204392,1.1351432032087432,374.3569575455533,1.0034047718407966
