participant_index,top1_accuracy
1,0.75
2,0.775
3,0.65
4,1
5,0.6
6,0.725
7,0.65
8,0.575
9,0.75
10,0.825
11,0.725
12,0.575
13,0.525
14,0.65
15,0.575
16,0.525
17,0.6
18,0.675
19,0.65
20,0.525
21,0.375
22,0.75
23,0.65
24,0.7
25,0.725
26,0.7
27,0.5
28,0.925
29,0.675
30,0.775
31,0.65
32,0.8
33,0.75
34,0.6
35,0.675
36,0.625
37,0.9
38,0.575
39,0.5
40,0.775
41,0.8
42,0.675
43,0.6
44,0.675
45,0.5
46,0.65
47,0.65
48,0.575
49,0.6
50,0.575
51,0.75
52,0.475
53,0.6
54,0.45
55,0.7
56,0.675
57,0.675
58,0.55
59,0.775
60,0.525
61,0.75
62,0.625
63,0.65
64,0.9
65,0.475
