participant_index,top1_accuracy
1,0.75
2,0.6
3,0.625
4,1
5,0.65
6,0.55
7,0.775
8,0.4
9,0.675
10,0.8
11,0.975
12,0.525
13,0.575
14,0.525
15,0.675
16,0.525
17,0.725
18,0.85
19,0.75
20,0.625
21,0.65
22,0.75
23,0.75
24,0.825
25,0.475
26,0.725
27,0.55
28,0.875
29,0.65
30,0.65
31,0.625
32,0.475
33,0.825
34,0.475
35,0.625
36,0.575
37,0.7
38,0.775
39,0.525
40,0.65
41,0.725
42,0.725
43,0.65
44,0.775
45,0.475
46,0.65
47,0.525
48,0.625
49,0.85
50,0.525
51,0.7
52,0.45
53,0.575
54,0.625
55,0.7
56,0.575
57,0.65
58,0.625
59,0.525
60,0.625
61,0.5
62,0.575
63,0.625
64,0.775
65,0.5
