participant_index,top1_accuracy
1,0.675
2,0.55
3,0.75
4,1
5,0.65
6,0.65
7,0.55
8,0.55
9,0.675
10,0.6
11,0.55
12,0.575
13,0.675
14,0.825
15,0.725
16,0.725
17,0.7
18,0.7
19,0.775
20,0.55
21,0.55
22,0.85
23,0.625
24,0.725
25,0.775
26,0.75
27,0.45
28,0.725
29,0.5
30,0.7
31,0.6
32,0.55
33,0.725
34,0.725
35,0.875
36,0.9
37,0.75
38,0.625
39,0.6
40,0.625
41,0.625
42,0.675
43,0.6
44,0.7
45,0.5
46,0.6
47,0.625
48,0.525
49,0.725
50,0.625
51,0.75
52,0.625
53,0.75
54,0.5
55,0.475
56,0.875
57,0.625
58,0.6
59,0.725
60,0.6
61,0.75
62,0.6
63,0.8
64,0.775
65,0.825
