participant_index,top1_accuracy
1,0.95
2,0.875
3,0.925
4,0.975
5,0.925
6,0.925
7,1
8,0.85
9,0.95
10,0.925
11,0.85
12,0.8
13,0.975
14,0.95
15,0.875
16,0.925
17,0.875
18,0.925
19,1
20,0.9
21,0.95
22,0.875
23,0.95
24,0.975
25,0.9
26,0.65
27,0.925
28,0.975
29,0.975
30,0.8
31,1
32,0.875
33,0.975
34,0.825
35,0.825
36,0.975
37,0.95
38,0.925
39,0.925
40,0.975
41,0.925
42,0.9
43,0.8
44,0.925
45,0.7
46,0.95
47,0.8
48,1
49,0.55
50,0.875
51,0.95
52,0.95
53,0.575
54,0.7
55,0.825
56,1
57,0.875
58,0.95
59,0.825
60,0.95
61,0.925
62,0.95
63,0.975
64,1
65,0.475
