participant_index,top1_accuracy
1,0.825
2,0.65
3,0.675
4,1
5,0.675
6,0.6
7,0.725
8,0.775
9,0.675
10,0.75
11,1
12,0.525
13,0.7
14,0.6
15,0.65
16,0.575
17,0.625
18,0.85
19,0.675
20,0.675
21,0.55
22,0.825
23,0.575
24,0.725
25,0.55
26,0.6
27,0.6
28,0.675
29,0.725
30,0.7
31,0.65
32,0.825
33,0.7
34,0.825
35,0.725
36,0.875
37,0.55
38,0.725
39,0.575
40,0.85
41,0.5
42,0.875
43,0.525
44,0.75
45,0.6
46,0.625
47,0.675
48,0.75
49,0.325
50,0.65
51,0.775
52,0.7
53,0.6
54,0.475
55,0.575
56,0.725
57,0.75
58,0.425
59,0.7
60,0.65
61,0.775
62,0.65
63,0.7
64,0.725
65,0.675
