contrast,parameter,group_a,group_b,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,p_lt0,posterior_tail_p
Choice Frame: Accept - Reject,alpha,Accept,Reject,0.7306780242701518,0.710870676522345,0.019807347747806816,-0.12404471169976317,0.1476432533737623,TRUE,Crosses 0,0.6245,0.3755,0.751
Choice Frame: Accept - Reject,beta,Accept,Reject,3.0985926250491707,1.8627483927069521,1.2358442323422185,0.25792488898641464,2.1704275716559613,FALSE,Above 0,0.9945,0.0055,0.011
Choice Frame: Accept - Reject,gamma,Accept,Reject,-0.0011707475364086208,0.1073017219922227,-0.10847246952863131,-0.23626078233157455,0.022277770563133098,TRUE,Crosses 0,0.0525,0.9475,0.105
Feedback: Full - Partial,alpha,Full Feedback,Partial Feedback,0.7860299264794469,0.6555187743130501,0.13051115216639683,-0.017286162446964532,0.2615928923343471,TRUE,Crosses 0,0.9575,0.0425,0.085
Feedback: Full - Partial,beta,Full Feedback,Partial Feedback,1.3203828959779529,3.64095812177817,-2.320575225800217,-3.2675286112843733,-1.4065227086668581,FALSE,Below 0,0,1,0
Feedback: Full - Partial,gamma,Full Feedback,Partial Feedback,0.01691873175863136,0.08921224269718271,-0.07229351093855135,-0.20689914629500322,0.06009619768011752,TRUE,Crosses 0,0.14625,0.85375,0.2925
Full only: Accept - Reject,alpha,Accept,Reject,0.7746793074469835,0.7973805455119102,-0.022701238064926667,-0.21838967897363498,0.14363281208572765,TRUE,Crosses 0,0.4125,0.5875,0.825
Full only: Accept - Reject,beta,Accept,Reject,1.5412685255484277,1.0994972664074782,0.44177125914094945,-0.29315689636979514,1.3319769447168284,TRUE,Crosses 0,0.88725,0.11275,0.2255
Full only: Accept - Reject,gamma,Accept,Reject,0.02016566859700135,0.013671794920261366,0.0064938736767399825,-0.17124837599305123,0.1888807315746914,TRUE,Crosses 0,0.5335,0.4665,0.933
Full only: TP - No TP,alpha,TP,No TP,0.7827025648514504,0.7893572881074434,-0.006654723255993066,-0.17828491991881526,0.18335443737035736,TRUE,Crosses 0,0.4595,0.5405,0.919
Full only: TP - No TP,beta,TP,No TP,1.2577877480948423,1.3829780438610635,-0.12519029576622118,-1.042876865217964,0.5976932057652489,TRUE,Crosses 0,0.38675,0.61325,0.7735
Full only: TP - No TP,gamma,TP,No TP,0.09251414433751849,-0.058676680820255775,0.15119082515777427,-0.02977282856597637,0.32823128145865493,TRUE,Crosses 0,0.95275,0.04725,0.0945
Partial only: Accept - Reject,alpha,Accept,Reject,0.6866767410933202,0.6243608075327799,0.0623159335605403,-0.16498375545754468,0.2505686984992991,TRUE,Crosses 0,0.707,0.293,0.586
Partial only: Accept - Reject,beta,Accept,Reject,4.655916724549914,2.625999519006426,2.0299172055434878,0.24940388806810979,3.719285217117423,FALSE,Above 0,0.989,0.011,0.022
Partial only: Accept - Reject,gamma,Accept,Reject,-0.022507163669818593,0.200931649064184,-0.2234388127340026,-0.420953298681299,-0.030692460031401612,FALSE,Below 0,0.01,0.99,0.02
Partial only: TP - No TP,alpha,TP,No TP,0.6002801890834517,0.7107573595426484,-0.11047717045919662,-0.3028571558178093,0.11584754203321716,TRUE,Crosses 0,0.182,0.818,0.364
Partial only: TP - No TP,beta,TP,No TP,3.9473411217057217,3.3345751218506186,0.6127659998551034,-1.0672132440688313,2.4290629849206957,TRUE,Crosses 0,0.7445,0.2555,0.511
Partial only: TP - No TP,gamma,TP,No TP,0.16985113570513893,0.008573349689226496,0.16127778601591242,-0.039287552825771364,0.3507942270633526,TRUE,Crosses 0,0.946,0.054,0.108
Time Pressure: TP - No TP,alpha,TP,No TP,0.691491376967451,0.7500573238250459,-0.05856594685759484,-0.1925637133956029,0.08672081993620316,TRUE,Crosses 0,0.20625,0.79375,0.4125
Time Pressure: TP - No TP,beta,TP,No TP,2.602564434900282,2.358776582855841,0.24378785204444112,-0.7141099511797093,1.2501009136996892,TRUE,Crosses 0,0.68825,0.31175,0.6235
Time Pressure: TP - No TP,gamma,TP,No TP,0.1311826400213287,-0.02505166556551464,0.15623430558684334,0.023208118938043386,0.2910287010920039,FALSE,Above 0,0.98875,0.01125,0.0225
