feedback_split,effect,contrast,parameter,n_draws,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
Full,Choice Frame,Accept - Reject,alpha,4000,0.7746793074469835,0.7973805455119102,-0.022701238064926667,-0.21838967897363498,0.14363281208572765,TRUE,Crosses 0,0.4125,0.825
Full,Choice Frame,Accept - Reject,beta,4000,1.5412685255484277,1.0994972664074782,0.44177125914094945,-0.29315689636979514,1.3319769447168284,TRUE,Crosses 0,0.88725,0.2255
Full,Choice Frame,Accept - Reject,gamma,4000,0.02016566859700135,0.013671794920261366,0.0064938736767399825,-0.17124837599305123,0.1888807315746914,TRUE,Crosses 0,0.5335,0.933
Full,Time Pressure,TP - No TP,alpha,4000,0.7827025648514504,0.7893572881074434,-0.006654723255993066,-0.17828491991881526,0.18335443737035736,TRUE,Crosses 0,0.4595,0.919
Full,Time Pressure,TP - No TP,beta,4000,1.2577877480948423,1.3829780438610635,-0.12519029576622118,-1.042876865217964,0.5976932057652489,TRUE,Crosses 0,0.38675,0.7735
Full,Time Pressure,TP - No TP,gamma,4000,0.09251414433751849,-0.058676680820255775,0.15119082515777427,-0.02977282856597637,0.32823128145865493,TRUE,Crosses 0,0.95275,0.0945
Partial,Choice Frame,Accept - Reject,alpha,4000,0.6866767410933202,0.6243608075327799,0.0623159335605403,-0.16498375545754468,0.2505686984992991,TRUE,Crosses 0,0.707,0.586
Partial,Choice Frame,Accept - Reject,beta,4000,4.655916724549914,2.625999519006426,2.0299172055434878,0.24940388806810979,3.719285217117423,FALSE,Above 0,0.989,0.022
Partial,Choice Frame,Accept - Reject,gamma,4000,-0.022507163669818593,0.200931649064184,-0.2234388127340026,-0.420953298681299,-0.030692460031401612,FALSE,Below 0,0.01,0.02
Partial,Time Pressure,TP - No TP,alpha,4000,0.6002801890834517,0.7107573595426484,-0.11047717045919662,-0.3028571558178093,0.11584754203321716,TRUE,Crosses 0,0.182,0.364
Partial,Time Pressure,TP - No TP,beta,4000,3.9473411217057217,3.3345751218506186,0.6127659998551034,-1.0672132440688313,2.4290629849206957,TRUE,Crosses 0,0.7445,0.511
Partial,Time Pressure,TP - No TP,gamma,4000,0.16985113570513893,0.008573349689226496,0.16127778601591242,-0.039287552825771364,0.3507942270633526,TRUE,Crosses 0,0.946,0.108
