task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FulltickNoTimelimited,1,0.4998153846153846,0.5,0.4153846153846154,0.5846153846153846
FulltickNoTimelimited,2,0.5714807692307693,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,3,0.5716846153846153,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,4,0.5465384615384615,0.5384615384615384,0.47692307692307695,0.6153846153846154
FulltickNoTimelimited,5,0.5474076923076923,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,6,0.5717692307692308,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,7,0.5868384615384615,0.5846153846153846,0.5076923076923077,0.6615384615384615
FulltickNoTimelimited,8,0.5341384615384616,0.5384615384615384,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,9,0.5531384615384616,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,10,0.56355,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,11,0.5701423076923077,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,12,0.5759,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,13,0.5637692307692308,0.5692307692307692,0.49230769230769234,0.6307692307692307
FulltickNoTimelimited,14,0.601123076923077,0.6,0.5230769230769231,0.676923076923077
FulltickNoTimelimited,15,0.5742038461538461,0.5692307692307692,0.5076923076923077,0.6461538461538462
FulltickNoTimelimited,16,0.5747615384615384,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,17,0.5858269230769231,0.5846153846153846,0.5076923076923077,0.6615384615384615
FulltickNoTimelimited,18,0.5971423076923077,0.6,0.5230769230769231,0.676923076923077
FulltickNoTimelimited,19,0.5864846153846154,0.5846153846153846,0.5076923076923077,0.6615384615384615
FulltickNoTimelimited,20,0.5554576923076923,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,21,0.5813,0.5846153846153846,0.5076923076923077,0.6615384615384615
FulltickNoTimelimited,22,0.5501346153846154,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,23,0.6016769230769231,0.6,0.5230769230769231,0.676923076923077
FulltickNoTimelimited,24,0.5733076923076923,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,25,0.5756884615384615,0.5692307692307692,0.5076923076923077,0.6461538461538462
FulltickNoTimelimited,26,0.5682230769230769,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,27,0.5749692307692308,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,28,0.5717807692307693,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,29,0.5453846153846154,0.5461538461538462,0.47692307692307695,0.6153846153846154
FulltickNoTimelimited,30,0.5678576923076923,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,31,0.5446,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,32,0.5917884615384615,0.5846153846153846,0.5230769230769231,0.6615384615384615
FulltickNoTimelimited,33,0.5370192307692307,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,34,0.5525923076923077,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,35,0.5339192307692308,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,36,0.5908961538461539,0.5923076923076923,0.5076923076923077,0.6615384615384615
FulltickNoTimelimited,37,0.5727961538461539,0.5692307692307692,0.49230769230769234,0.6461538461538462
FulltickNoTimelimited,38,0.5478692307692308,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,39,0.5442923076923077,0.5384615384615384,0.47692307692307695,0.6153846153846154
FulltickNoTimelimited,40,0.5463807692307693,0.5384615384615384,0.47692307692307695,0.6153846153846154
