task,trial,top1_accuracy
FullcrossNoTimelimited,1,0.6307692307692307
FullcrossNoTimelimited,2,0.676923076923077
FullcrossNoTimelimited,3,0.6307692307692307
FullcrossNoTimelimited,4,0.6307692307692307
FullcrossNoTimelimited,5,0.5846153846153846
FullcrossNoTimelimited,6,0.5384615384615384
FullcrossNoTimelimited,7,0.6923076923076923
FullcrossNoTimelimited,8,0.6307692307692307
FullcrossNoTimelimited,9,0.6153846153846154
FullcrossNoTimelimited,10,0.6153846153846154
FullcrossNoTimelimited,11,0.6615384615384615
FullcrossNoTimelimited,12,0.6153846153846154
FullcrossNoTimelimited,13,0.7384615384615385
FullcrossNoTimelimited,14,0.6923076923076923
FullcrossNoTimelimited,15,0.6153846153846154
FullcrossNoTimelimited,16,0.6923076923076923
FullcrossNoTimelimited,17,0.6461538461538462
FullcrossNoTimelimited,18,0.6153846153846154
FullcrossNoTimelimited,19,0.6615384615384615
FullcrossNoTimelimited,20,0.6923076923076923
FullcrossNoTimelimited,21,0.6923076923076923
FullcrossNoTimelimited,22,0.6615384615384615
FullcrossNoTimelimited,23,0.6615384615384615
FullcrossNoTimelimited,24,0.676923076923077
FullcrossNoTimelimited,25,0.7230769230769231
FullcrossNoTimelimited,26,0.7384615384615385
FullcrossNoTimelimited,27,0.676923076923077
FullcrossNoTimelimited,28,0.676923076923077
FullcrossNoTimelimited,29,0.5846153846153846
FullcrossNoTimelimited,30,0.7076923076923077
FullcrossNoTimelimited,31,0.6
FullcrossNoTimelimited,32,0.6923076923076923
FullcrossNoTimelimited,33,0.6461538461538462
FullcrossNoTimelimited,34,0.6615384615384615
FullcrossNoTimelimited,35,0.5692307692307692
FullcrossNoTimelimited,36,0.6615384615384615
FullcrossNoTimelimited,37,0.676923076923077
FullcrossNoTimelimited,38,0.6
FullcrossNoTimelimited,39,0.6923076923076923
FullcrossNoTimelimited,40,0.6153846153846154
