task,trial,top1_accuracy
FullcrossTimelimited,1,0.5076923076923077
FullcrossTimelimited,2,0.6153846153846154
FullcrossTimelimited,3,0.6153846153846154
FullcrossTimelimited,4,0.6307692307692307
FullcrossTimelimited,5,0.5692307692307692
FullcrossTimelimited,6,0.6461538461538462
FullcrossTimelimited,7,0.6
FullcrossTimelimited,8,0.6615384615384615
FullcrossTimelimited,9,0.6923076923076923
FullcrossTimelimited,10,0.5692307692307692
FullcrossTimelimited,11,0.5538461538461539
FullcrossTimelimited,12,0.6307692307692307
FullcrossTimelimited,13,0.5846153846153846
FullcrossTimelimited,14,0.7538461538461538
FullcrossTimelimited,15,0.6461538461538462
FullcrossTimelimited,16,0.7230769230769231
FullcrossTimelimited,17,0.6461538461538462
FullcrossTimelimited,18,0.6461538461538462
FullcrossTimelimited,19,0.676923076923077
FullcrossTimelimited,20,0.7230769230769231
FullcrossTimelimited,21,0.6
FullcrossTimelimited,22,0.6461538461538462
FullcrossTimelimited,23,0.6
FullcrossTimelimited,24,0.7538461538461538
FullcrossTimelimited,25,0.6923076923076923
FullcrossTimelimited,26,0.6153846153846154
FullcrossTimelimited,27,0.676923076923077
FullcrossTimelimited,28,0.676923076923077
FullcrossTimelimited,29,0.6923076923076923
FullcrossTimelimited,30,0.7384615384615385
FullcrossTimelimited,31,0.5846153846153846
FullcrossTimelimited,32,0.6153846153846154
FullcrossTimelimited,33,0.6923076923076923
FullcrossTimelimited,34,0.6461538461538462
FullcrossTimelimited,35,0.676923076923077
FullcrossTimelimited,36,0.6307692307692307
FullcrossTimelimited,37,0.6461538461538462
FullcrossTimelimited,38,0.6461538461538462
FullcrossTimelimited,39,0.6923076923076923
FullcrossTimelimited,40,0.6307692307692307
