task,trial,top1_accuracy
FulltickNoTimelimited,1,0.676923076923077
FulltickNoTimelimited,2,0.7076923076923077
FulltickNoTimelimited,3,0.6307692307692307
FulltickNoTimelimited,4,0.6307692307692307
FulltickNoTimelimited,5,0.6153846153846154
FulltickNoTimelimited,6,0.6615384615384615
FulltickNoTimelimited,7,0.6923076923076923
FulltickNoTimelimited,8,0.5230769230769231
FulltickNoTimelimited,9,0.6153846153846154
FulltickNoTimelimited,10,0.7692307692307693
FulltickNoTimelimited,11,0.676923076923077
FulltickNoTimelimited,12,0.7076923076923077
FulltickNoTimelimited,13,0.676923076923077
FulltickNoTimelimited,14,0.7230769230769231
FulltickNoTimelimited,15,0.676923076923077
FulltickNoTimelimited,16,0.7076923076923077
FulltickNoTimelimited,17,0.7230769230769231
FulltickNoTimelimited,18,0.7076923076923077
FulltickNoTimelimited,19,0.7230769230769231
FulltickNoTimelimited,20,0.676923076923077
FulltickNoTimelimited,21,0.6615384615384615
FulltickNoTimelimited,22,0.5538461538461539
FulltickNoTimelimited,23,0.7692307692307693
FulltickNoTimelimited,24,0.7076923076923077
FulltickNoTimelimited,25,0.6923076923076923
FulltickNoTimelimited,26,0.676923076923077
FulltickNoTimelimited,27,0.6615384615384615
FulltickNoTimelimited,28,0.676923076923077
FulltickNoTimelimited,29,0.6
FulltickNoTimelimited,30,0.6615384615384615
FulltickNoTimelimited,31,0.6
FulltickNoTimelimited,32,0.7692307692307693
FulltickNoTimelimited,33,0.5692307692307692
FulltickNoTimelimited,34,0.6307692307692307
FulltickNoTimelimited,35,0.6153846153846154
FulltickNoTimelimited,36,0.6923076923076923
FulltickNoTimelimited,37,0.6
FulltickNoTimelimited,38,0.6461538461538462
FulltickNoTimelimited,39,0.6153846153846154
FulltickNoTimelimited,40,0.6153846153846154
