task,trial,top1_accuracy
FulltickTimelimited,1,0.7846153846153846
FulltickTimelimited,2,0.6615384615384615
FulltickTimelimited,3,0.6615384615384615
FulltickTimelimited,4,0.6307692307692307
FulltickTimelimited,5,0.5384615384615384
FulltickTimelimited,6,0.5538461538461539
FulltickTimelimited,7,0.5692307692307692
FulltickTimelimited,8,0.6153846153846154
FulltickTimelimited,9,0.6615384615384615
FulltickTimelimited,10,0.8
FulltickTimelimited,11,0.6615384615384615
FulltickTimelimited,12,0.676923076923077
FulltickTimelimited,13,0.6153846153846154
FulltickTimelimited,14,0.7384615384615385
FulltickTimelimited,15,0.7230769230769231
FulltickTimelimited,16,0.7384615384615385
FulltickTimelimited,17,0.6307692307692307
FulltickTimelimited,18,0.7230769230769231
FulltickTimelimited,19,0.7230769230769231
FulltickTimelimited,20,0.7076923076923077
FulltickTimelimited,21,0.7384615384615385
FulltickTimelimited,22,0.6153846153846154
FulltickTimelimited,23,0.676923076923077
FulltickTimelimited,24,0.6153846153846154
FulltickTimelimited,25,0.7692307692307693
FulltickTimelimited,26,0.7076923076923077
FulltickTimelimited,27,0.6
FulltickTimelimited,28,0.6307692307692307
FulltickTimelimited,29,0.6615384615384615
FulltickTimelimited,30,0.5692307692307692
FulltickTimelimited,31,0.7076923076923077
FulltickTimelimited,32,0.7076923076923077
FulltickTimelimited,33,0.7538461538461538
FulltickTimelimited,34,0.7692307692307693
FulltickTimelimited,35,0.6461538461538462
FulltickTimelimited,36,0.7076923076923077
FulltickTimelimited,37,0.6461538461538462
FulltickTimelimited,38,0.7230769230769231
FulltickTimelimited,39,0.7538461538461538
FulltickTimelimited,40,0.6923076923076923
