task,trial,top1_accuracy
PartialcrossNoTimelimited,1,0.5892857142857143
PartialcrossNoTimelimited,2,0.6964285714285714
PartialcrossNoTimelimited,3,0.5892857142857143
PartialcrossNoTimelimited,4,0.6607142857142857
PartialcrossNoTimelimited,5,0.6428571428571429
PartialcrossNoTimelimited,6,0.625
PartialcrossNoTimelimited,7,0.625
PartialcrossNoTimelimited,8,0.6785714285714286
PartialcrossNoTimelimited,9,0.6964285714285714
PartialcrossNoTimelimited,10,0.6785714285714286
PartialcrossNoTimelimited,11,0.7142857142857143
PartialcrossNoTimelimited,12,0.6428571428571429
PartialcrossNoTimelimited,13,0.6428571428571429
PartialcrossNoTimelimited,14,0.7321428571428571
PartialcrossNoTimelimited,15,0.75
PartialcrossNoTimelimited,16,0.6964285714285714
PartialcrossNoTimelimited,17,0.7857142857142857
PartialcrossNoTimelimited,18,0.7678571428571429
PartialcrossNoTimelimited,19,0.8035714285714286
PartialcrossNoTimelimited,20,0.8392857142857143
PartialcrossNoTimelimited,21,0.75
PartialcrossNoTimelimited,22,0.7678571428571429
PartialcrossNoTimelimited,23,0.8035714285714286
PartialcrossNoTimelimited,24,0.7678571428571429
PartialcrossNoTimelimited,25,0.7142857142857143
PartialcrossNoTimelimited,26,0.6785714285714286
PartialcrossNoTimelimited,27,0.6785714285714286
PartialcrossNoTimelimited,28,0.75
PartialcrossNoTimelimited,29,0.6964285714285714
PartialcrossNoTimelimited,30,0.75
PartialcrossNoTimelimited,31,0.6785714285714286
PartialcrossNoTimelimited,32,0.6607142857142857
PartialcrossNoTimelimited,33,0.6785714285714286
PartialcrossNoTimelimited,34,0.75
PartialcrossNoTimelimited,35,0.6964285714285714
PartialcrossNoTimelimited,36,0.6964285714285714
PartialcrossNoTimelimited,37,0.625
PartialcrossNoTimelimited,38,0.625
PartialcrossNoTimelimited,39,0.7321428571428571
PartialcrossNoTimelimited,40,0.7321428571428571
