task,trial,top1_accuracy
PartialtickNoTimelimited,1,0.5892857142857143
PartialtickNoTimelimited,2,0.5535714285714286
PartialtickNoTimelimited,3,0.8214285714285714
PartialtickNoTimelimited,4,0.7142857142857143
PartialtickNoTimelimited,5,0.6785714285714286
PartialtickNoTimelimited,6,0.625
PartialtickNoTimelimited,7,0.8214285714285714
PartialtickNoTimelimited,8,0.6607142857142857
PartialtickNoTimelimited,9,0.75
PartialtickNoTimelimited,10,0.7321428571428571
PartialtickNoTimelimited,11,0.6428571428571429
PartialtickNoTimelimited,12,0.75
PartialtickNoTimelimited,13,0.7142857142857143
PartialtickNoTimelimited,14,0.6964285714285714
PartialtickNoTimelimited,15,0.7321428571428571
PartialtickNoTimelimited,16,0.7321428571428571
PartialtickNoTimelimited,17,0.8392857142857143
PartialtickNoTimelimited,18,0.625
PartialtickNoTimelimited,19,0.7321428571428571
PartialtickNoTimelimited,20,0.75
PartialtickNoTimelimited,21,0.7678571428571429
PartialtickNoTimelimited,22,0.75
PartialtickNoTimelimited,23,0.7142857142857143
PartialtickNoTimelimited,24,0.6964285714285714
PartialtickNoTimelimited,25,0.8214285714285714
PartialtickNoTimelimited,26,0.6428571428571429
PartialtickNoTimelimited,27,0.6785714285714286
PartialtickNoTimelimited,28,0.7321428571428571
PartialtickNoTimelimited,29,0.6964285714285714
PartialtickNoTimelimited,30,0.75
PartialtickNoTimelimited,31,0.7142857142857143
PartialtickNoTimelimited,32,0.625
PartialtickNoTimelimited,33,0.6785714285714286
PartialtickNoTimelimited,34,0.7857142857142857
PartialtickNoTimelimited,35,0.75
PartialtickNoTimelimited,36,0.6964285714285714
PartialtickNoTimelimited,37,0.6964285714285714
PartialtickNoTimelimited,38,0.8035714285714286
PartialtickNoTimelimited,39,0.75
PartialtickNoTimelimited,40,0.7142857142857143
