task,trial,top1_accuracy
PartialtickTimelimited,1,0.6964285714285714
PartialtickTimelimited,2,0.5357142857142857
PartialtickTimelimited,3,0.6964285714285714
PartialtickTimelimited,4,0.6964285714285714
PartialtickTimelimited,5,0.7857142857142857
PartialtickTimelimited,6,0.6964285714285714
PartialtickTimelimited,7,0.6785714285714286
PartialtickTimelimited,8,0.7678571428571429
PartialtickTimelimited,9,0.7321428571428571
PartialtickTimelimited,10,0.7678571428571429
PartialtickTimelimited,11,0.7678571428571429
PartialtickTimelimited,12,0.6964285714285714
PartialtickTimelimited,13,0.6071428571428571
PartialtickTimelimited,14,0.7321428571428571
PartialtickTimelimited,15,0.625
PartialtickTimelimited,16,0.875
PartialtickTimelimited,17,0.75
PartialtickTimelimited,18,0.7142857142857143
PartialtickTimelimited,19,0.6785714285714286
PartialtickTimelimited,20,0.7142857142857143
PartialtickTimelimited,21,0.875
PartialtickTimelimited,22,0.75
PartialtickTimelimited,23,0.8035714285714286
PartialtickTimelimited,24,0.75
PartialtickTimelimited,25,0.6785714285714286
PartialtickTimelimited,26,0.8035714285714286
PartialtickTimelimited,27,0.6964285714285714
PartialtickTimelimited,28,0.8035714285714286
PartialtickTimelimited,29,0.75
PartialtickTimelimited,30,0.8035714285714286
PartialtickTimelimited,31,0.8392857142857143
PartialtickTimelimited,32,0.75
PartialtickTimelimited,33,0.9107142857142857
PartialtickTimelimited,34,0.7321428571428571
PartialtickTimelimited,35,0.6964285714285714
PartialtickTimelimited,36,0.8035714285714286
PartialtickTimelimited,37,0.6607142857142857
PartialtickTimelimited,38,0.7142857142857143
PartialtickTimelimited,39,0.7857142857142857
PartialtickTimelimited,40,0.7678571428571429
