effect,group,parameter,n,q50,q25,q75,q025,q975
choice_frame,Accept,mu_alpha,24000,1.3551413232328327,0.6392390110149877,1.9572210195349227,0.0644540011672423,2.4469922070941545
choice_frame,Accept,mu_beta_restored_robust,23490,-0.3472077524358828,-0.468207685161771,-0.06584192590217997,-0.6772781540182121,0.5005593414386394
choice_frame,Accept,mu_gamma,24000,0.13227233693239238,0.010376673561771743,0.23524395953656002,-0.16417107095096944,0.3955916229032422
choice_frame,Reject,mu_alpha,24000,0.9754174002151186,0.5603990821277028,1.4194635064991419,0.03168474159856409,1.9661720231873157
choice_frame,Reject,mu_beta_restored_robust,23295,-0.11881694505998495,-0.27071843874971285,0.0720562310907264,-0.5817351485166666,0.6813089669354436
choice_frame,Reject,mu_gamma,24000,0.15365486523296062,0.0043661403000529704,0.3545943729751256,-0.1516421638653518,0.5770955689416267
feedback,Full,mu_alpha,24000,0.602246403702031,0.3676428014361093,0.8378538149778708,-0.05666910955744189,1.2698689198765607
feedback,Full,mu_beta_restored_robust,22786,3.553522030034492e-4,-0.14387556657323441,0.17522704426098862,-0.5879492153394634,0.8549533547256846
feedback,Full,mu_gamma,24000,0.01017838822937742,-0.06402414266598049,0.09057883451506768,-0.18594829962533177,0.2351637673736872
feedback,Partial,mu_alpha,24000,1.7078909490496401,1.3923596877383069,1.9890190117542412,0.8084874277172863,2.450546583274469
feedback,Partial,mu_beta_restored_robust,23999,-0.3778339696421989,-0.47346985789530754,-0.23600773830251037,-0.6637920012598888,-1.3330168186679412e-4
feedback,Partial,mu_gamma,24000,0.27608814785507774,0.18913610754766247,0.38232535844274973,0.04371638324161512,0.5773464338873272
time_pressure,No TP,mu_alpha,24000,1.172768903421952,0.6274711555859034,1.7610305907603911,0.04462444884993261,2.3912925365940354
time_pressure,No TP,mu_beta_restored_robust,23376,-0.2671903173411249,-0.4060945465559579,-0.07238548864449008,-0.6517315058567954,0.4887348348367816
time_pressure,No TP,mu_gamma,24000,0.06303650284875327,-0.05357385742641198,0.21051037298009254,-0.1844990169980574,0.38002141250932003
time_pressure,TP,mu_alpha,24000,0.998071006210733,0.5694773535839356,1.6493393011260582,0.048211091960305465,2.274439854576016
time_pressure,TP,mu_beta_restored_robust,23409,-0.11995000239763424,-0.3956571878378515,0.0774036687061057,-0.6496888443848929,0.6781806187219963
time_pressure,TP,mu_gamma,24000,0.20107803742672103,0.08179899676837897,0.3649344551589057,-0.06882815395810293,0.576782998003855
