changed_factor,contrast,task_plus,task_minus,parameter,diff_mean,hdi95_lo,hdi95_hi,hdi95_crosses_zero,posterior_tail_p
Choice Frame,Accept - Reject,FulltickNoTimelimited,FullcrossNoTimelimited,mu_alpha,0.3676505352043708,-0.4855050488351218,1.2060330890979516,TRUE,0.3953333333333333
Choice Frame,Accept - Reject,FulltickNoTimelimited,FullcrossNoTimelimited,mu_beta_restored,-0.1567583980897238,-2.9096056028287896,2.135930315843357,TRUE,0.7006666666666668
Choice Frame,Accept - Reject,FulltickNoTimelimited,FullcrossNoTimelimited,mu_gamma,-0.01078052920561642,-0.22892388119157484,0.21009788026168896,TRUE,0.9173333333333332
Choice Frame,Accept - Reject,FulltickTimelimited,FullcrossTimelimited,mu_alpha,-0.22448304868932445,-1.0543958386396894,0.6260349547662784,TRUE,0.6166666666666667
Choice Frame,Accept - Reject,FulltickTimelimited,FullcrossTimelimited,mu_beta_restored,-0.4039977931515382,-2.6314288785749698,2.18437178183828,TRUE,0.8260000000000001
Choice Frame,Accept - Reject,FulltickTimelimited,FullcrossTimelimited,mu_gamma,0.03677422111767073,-0.21514166819729896,0.2888216671912023,TRUE,0.764
Choice Frame,Accept - Reject,PartialtickNoTimelimited,PartialcrossNoTimelimited,mu_alpha,0.46214679635491096,-0.3926269347626941,1.3147351740124362,TRUE,0.29033333333333333
Choice Frame,Accept - Reject,PartialtickNoTimelimited,PartialcrossNoTimelimited,mu_beta_restored,-0.10288729986191536,-0.42603861159740136,0.2434782356697324,TRUE,0.494
Choice Frame,Accept - Reject,PartialtickNoTimelimited,PartialcrossNoTimelimited,mu_gamma,-0.07283609051447763,-0.3341733748966431,0.184529422397602,TRUE,0.5773333333333333
Choice Frame,Accept - Reject,PartialtickTimelimited,PartialcrossTimelimited,mu_alpha,0.6351978612244339,-0.2101486265508285,1.4847745545220985,TRUE,0.14
Choice Frame,Accept - Reject,PartialtickTimelimited,PartialcrossTimelimited,mu_beta_restored,-0.35975788024643857,-0.6663298000012153,-0.01058166428001162,FALSE,0.04633333333333334
Choice Frame,Accept - Reject,PartialtickTimelimited,PartialcrossTimelimited,mu_gamma,-0.180475509380367,-0.4379291782329122,0.07148682460226854,TRUE,0.16999999999999993
Feedback,Full - Partial,FullcrossNoTimelimited,PartialcrossNoTimelimited,mu_alpha,-1.085779553058679,-1.927761467159224,-0.2223064491145897,FALSE,0.012
