parameter,task_a,task_b,n_draws_used,diff_mean,diff_median,diff_q025,diff_q10,diff_q90,diff_q975,p_diff_gt_0,posterior_tail_p
mu_alpha,FullcrossNoTimelimited,FullcrossTimelimited,6000,-0.24639889175478877,-0.24687544449908128,-1.0719976179684398,-0.7810975443901472,0.30146268698762535,0.5805038786126677,0.287,0.574
mu_alpha,FullcrossNoTimelimited,FulltickNoTimelimited,6000,-0.3676505352043708,-0.3664754704276504,-1.2060330890979516,-0.924484630890902,0.17848536675165974,0.4855050488351218,0.19766666666666666,0.3953333333333333
mu_alpha,FullcrossNoTimelimited,FulltickTimelimited,6000,-0.02191584306546432,-0.02519777422114397,-0.8697501366921812,-0.5785771545861036,0.5340075853647097,0.8333049054338784,0.4775,0.955
mu_alpha,FullcrossNoTimelimited,PartialcrossNoTimelimited,6000,-1.085779553058679,-1.088741446324699,-1.9277614671592238,-1.6308489038880951,-0.5394004665291005,-0.22230644911458966,0.006,0.012
mu_alpha,FullcrossNoTimelimited,PartialcrossTimelimited,6000,-0.8445976627954556,-0.8409463689203006,-1.748445313522548,-1.4497318316441423,-0.2362738611443392,0.07324759998551786,0.036833333333333336,0.07366666666666667
mu_alpha,FullcrossNoTimelimited,PartialtickNoTimelimited,6000,-1.5479263494135898,-1.5508068462500697,-2.3892747017216047,-2.103099112915809,-0.9803868768949682,-0.6889834082399809,1.6666666666666666e-4,3.333333333333333e-4
mu_alpha,FullcrossNoTimelimited,PartialtickTimelimited,6000,-1.4797955240198895,-1.4793047840831353,-2.286257272836423,-2.0087662597442297,-0.9505402941205953,-0.6594517501317759,1.6666666666666666e-4,3.333333333333333e-4
mu_alpha,FullcrossTimelimited,FulltickNoTimelimited,6000,-0.12125164344958204,-0.12774972773769377,-0.9673331210237645,-0.6631934656657017,0.43994766197674595,0.7175891330619657,0.3873333333333333,0.7746666666666666
mu_alpha,FullcrossTimelimited,FulltickTimelimited,6000,0.22448304868932445,0.2227268130537879,-0.6260349547662784,-0.33363483906243097,0.7860690296643695,1.0543958386396894,0.6916666666666667,0.6166666666666667
mu_alpha,FullcrossTimelimited,PartialcrossNoTimelimited,6000,-0.8393806613038901,-0.8468323207941241,-1.6838397781169248,-1.3895858516088746,-0.2794304108799962,0.02206512843459152,0.029333333333333333,0.058666666666666666
