draw,group,alpha,beta_restored,gamma
1,Full Feedback,0.4267720303692826,0.02822965814415888,0.06803518074116982
1,Partial Feedback,1.8132929932207102,-0.34715519450678556,0.33577706865594176
2,Full Feedback,0.8033769926477239,-0.0041520873849491755,-0.03298907848831644
2,Partial Feedback,1.5958043455852613,-0.3519498929709318,0.2955988839103982
3,Full Feedback,-0.004006907031702225,0.4603976768938695,0.04234871738927902
3,Partial Feedback,1.7682332532002505,-0.37687859569581234,0.25583850781129663
4,Full Feedback,0.4214428314616847,-0.054493827202327684,0.04602235469212278
4,Partial Feedback,1.7969707091669966,-0.3154983739684636,0.22929057106578282
5,Full Feedback,0.32596909718409095,-0.3918559848413044,-0.038598019482335655
5,Partial Feedback,1.7160193671908195,-0.3377740558379671,0.35625908166223225
6,Full Feedback,0.6765918907459301,-0.11040180346587333,0.04245803374368397
6,Partial Feedback,1.664887929859955,-0.3495481318701101,0.35031015229442397
7,Full Feedback,0.5552026356629112,0.12344545306374691,-3.2985027329030317e-4
7,Partial Feedback,1.5231035101748773,-0.42315378739661186,0.21270256948105476
8,Full Feedback,0.6850128336735155,-0.07135808691073733,-0.0020814741920448195
8,Partial Feedback,1.7368945256467445,-0.38275814923913865,0.28377366457468267
9,Full Feedback,0.5217208476991296,-0.17737422012132947,-0.008135834704384963
9,Partial Feedback,1.763233215477585,-0.4153942637532008,0.3393311664442102
10,Full Feedback,0.7127141958272133,0.17111297345882687,0.047270274683560654
10,Partial Feedback,1.69847816755477,-0.3847954149535845,0.1862270306277471
11,Full Feedback,0.4579551596919578,-0.49988852561964875,-0.002107832455851461
11,Partial Feedback,1.5453048070582902,-0.3817778267740506,0.347787044412554
12,Full Feedback,0.8725808846231754,-0.04909870635813773,-0.033461629327144034
12,Partial Feedback,1.721758960549278,-0.3531196440261855,0.20525023163726824
13,Full Feedback,0.6212251330988343,-0.03226502933855584,0.012458117834288757
13,Partial Feedback,1.6456628136182008,-0.34473004168452964,0.31727843414557666
14,Full Feedback,0.5754889769012771,0.04486881583956132,0.017412494495068168
14,Partial Feedback,1.7226067248785448,-0.3384740133289067,0.271944321327572
15,Full Feedback,0.341981144039501,-0.28753136064532125,-0.012801612455277233
15,Partial Feedback,1.6346029434720069,-0.37179562950502254,0.30838281198188894
16,Full Feedback,0.7126558692796124,0.027423179525887756,0.0817906389303168
16,Partial Feedback,1.8769680379540183,-0.38308676239539985,0.1410925158260035
17,Full Feedback,0.6102575646012964,0.10544515702204156,-0.012839355362099958
17,Partial Feedback,1.8385254640745443,-0.25939370491940383,0.27152086935916203
18,Full Feedback,0.6626833917565226,0.22656325788462126,0.0389188793388435
18,Partial Feedback,1.5867055168096909,-0.3589390001139209,0.30367425731961867
19,Full Feedback,0.3929390190511438,0.07699872018688647,0.021948709312496355
19,Partial Feedback,1.6343083293095582,-0.40502900770991707,0.27117011834502713
20,Full Feedback,0.6902363177618136,0.2941433969666607,0.04068122863253311
20,Partial Feedback,1.743190879119065,-0.30021469884715846,0.24594968804708106
21,Full Feedback,0.5993683123392413,-0.1683801486672887,0.049376575397909364
21,Partial Feedback,1.6255505576476876,-0.24374688467204908,0.2996850400117258
22,Full Feedback,0.7886489658688436,-0.029432007755987918,0.02016483968037632
22,Partial Feedback,1.641620567523427,-0.4206296861732909,0.32576269067063884
23,Full Feedback,0.6292170176006476,0.00383679369787554,0.07481926084195871
23,Partial Feedback,1.7504140831570896,-0.3625430018195857,0.3131742859860592
24,Full Feedback,0.550994693076511,0.30883916704394854,0.018849808877239152
24,Partial Feedback,1.67052257951197,-0.34719058013058574,0.35073473864927224
25,Full Feedback,0.7487210712554384,0.31323023274512596,0.005599133972048115
25,Partial Feedback,1.5968049064581658,-0.3844132730838292,0.269662592304253
26,Full Feedback,0.48669030488039333,-0.12694008227079223,-0.036260438496635614
26,Partial Feedback,1.4709818123541691,-0.35555561919735645,0.3476988063799065
27,Full Feedback,0.7012443274841357,-0.06464581124915562,0.03486661359699431
27,Partial Feedback,1.8481370713042296,-0.3375036051393509,0.254934162754405
28,Full Feedback,0.691953591352401,-0.023388324755127615,0.007549842655061381
28,Partial Feedback,1.7505132223004771,-0.33779818409574847,0.31139528199507005
29,Full Feedback,0.7771795058452424,0.11619563986700872,-0.04296544700781437
29,Partial Feedback,1.6099747968614242,-0.25996512044185033,0.24699694229329702
30,Full Feedback,0.42397047536969684,0.26935378124817044,-0.007360817497045767
30,Partial Feedback,1.8026501342216559,-0.32390691057794463,0.36245478327037345
31,Full Feedback,0.8072727633737231,-0.16885680644364276,0.07552910239020712
31,Partial Feedback,1.7094752258659733,-0.34568651531346845,0.35866091972954917
32,Full Feedback,0.5596430707108613,-0.057854045790606975,-0.024742873434254024
32,Partial Feedback,1.9266755141648337,-0.27532883354326976,0.23500568465409682
33,Full Feedback,0.9631741519371921,-0.031998299961110116,0.10942782463924215
33,Partial Feedback,1.4786075778816015,-0.2987399630617547,0.2973938182601026
34,Full Feedback,0.5005444264559902,0.007878037582401258,-0.015614422587632877
34,Partial Feedback,1.7020506395574597,-0.2824329298954401,0.29567180091310075
35,Full Feedback,0.748614487056864,0.03622963596402011,0.06067393900782313
35,Partial Feedback,1.4415547402426647,-0.4125813968166959,0.27171088106168606
36,Full Feedback,0.43260406331768225,0.20133878199272115,-7.122461438759369e-4
36,Partial Feedback,1.679657942776897,-0.2805987828888135,0.3259020612194467
37,Full Feedback,0.55059295979746,0.005082543087098529,-0.08844739618728567
37,Partial Feedback,1.5886683723434112,-0.41795019476799833,0.36573690430019085
38,Full Feedback,0.636259181213084,0.067478284363525,0.02949948968104968
38,Partial Feedback,1.5543028873907985,-0.43429145522909623,0.22906278885684772
39,Full Feedback,0.30448981561647637,-0.044468749778243194,0.03249061835503011
39,Partial Feedback,1.6844579933707875,-0.3358197374702567,0.2514433349827704
40,Full Feedback,0.3080551161922466,-0.20422982106900925,0.0848255200506111
40,Partial Feedback,1.717090655020848,-0.3240100285920808,0.25143627554840564
41,Full Feedback,0.8750379728273958,0.14306774334277955,0.010245966882676802
41,Partial Feedback,1.4862561444067655,-0.4074386379331453,0.34457054407567733
42,Full Feedback,0.5672422815242205,-0.1059167427900437,0.005096210887969001
42,Partial Feedback,1.693893680777932,-0.34384789442410657,0.3386767774619992
43,Full Feedback,0.6786905815958405,0.03683366808601471,0.039235444080063395
43,Partial Feedback,1.7227523350868832,-0.35627152748447943,0.22975227160974582
44,Full Feedback,0.3027596632412521,0.2339234131927935,-0.003339211950003857
44,Partial Feedback,1.6691594610138683,-0.3766506418571515,0.28490725459579186
45,Full Feedback,0.3266184850666436,0.09460464647309173,0.02237560032632398
45,Partial Feedback,1.611522316692825,-0.38815027629505106,0.24539845364693774
46,Full Feedback,0.6102997791396747,0.11593474783404567,0.05660902943956625
46,Partial Feedback,1.933610787970383,-0.34201193969970844,0.32707572152481024
47,Full Feedback,0.48276203798027895,0.18952553901196362,-0.015969468509053404
47,Partial Feedback,1.617876065068284,-0.3485179996208905,0.3272152458656712
48,Full Feedback,0.6780101599767229,0.13815402997825188,0.053003165011347796
48,Partial Feedback,1.985008516639093,-0.3427196191459474,0.3053529677062505
49,Full Feedback,0.8897750595886462,-0.13064419096409952,-0.012400535075058013
49,Partial Feedback,1.7093987288984644,-0.4178178753080356,0.30595846009322264
50,Full Feedback,0.658943268794729,0.030876236643963637,0.02010753758760378
50,Partial Feedback,1.6038920548172744,-0.40814148617009766,0.3149558590701209
51,Full Feedback,0.560657998440332,0.21550885255619034,-0.018512800064835362
51,Partial Feedback,1.4562895559336848,-0.43272539322626236,0.27211801525347606
52,Full Feedback,0.5431035370571724,-0.048750943638358614,0.004590599010764702
52,Partial Feedback,1.701798836890728,-0.36051630557401515,0.32794138807812306
53,Full Feedback,0.5147758317697132,0.22161593514380773,0.009668564798967404
53,Partial Feedback,1.7091460523032436,-0.4323576560963584,0.23593846919160644
54,Full Feedback,0.5584117364946215,0.2389612767475128,0.016728511703120973
54,Partial Feedback,1.7780527736110527,-0.27872099973803094,0.3006485473604925
55,Full Feedback,0.5641222511868828,0.1007195513576014,0.009516917843749082
55,Partial Feedback,1.7016465763170714,-0.2087753839078613,0.27532720376049513
56,Full Feedback,0.44155903492682824,-0.04239008933118322,-0.0022238317109500774
56,Partial Feedback,1.871141968897458,-0.2968851062272774,0.2774260719460447
57,Full Feedback,0.6000425877273771,0.016913584163597842,0.009404920030201873
57,Partial Feedback,1.5803519039267782,-0.3792828794551245,0.341514055991358
58,Full Feedback,0.5169741716690974,0.5592218001237745,0.014527881186197862
58,Partial Feedback,1.667351243579343,-0.3841806065515454,0.24609739901113767
59,Full Feedback,0.6516371349085118,-0.03410489072943185,0.029209724393096097
59,Partial Feedback,1.6354467497312206,-0.46313196397720047,0.24577672438080841
60,Full Feedback,0.7147964908831541,0.1450615658563488,0.006106358576633532
60,Partial Feedback,1.5864691014200332,-0.23003210173898217,0.3605121207159835
61,Full Feedback,0.5895721712153625,0.03778262862421903,0.09520179380061067
61,Partial Feedback,1.96831300332712,-0.35067869477262614,0.2694999371644964
62,Full Feedback,0.704158197146718,0.07080438435428542,-0.007713518123290686
62,Partial Feedback,1.5781292433205554,-0.40187919172215764,0.21543398283284104
63,Full Feedback,0.7392592525559709,0.08952907081610548,-0.02942775455558663
63,Partial Feedback,1.5797855636671585,-0.4026806578957177,0.34182163686765377
64,Full Feedback,0.6129417514998535,0.13422873332099794,-0.0016587206156161937
64,Partial Feedback,1.9555731490537211,-0.3445267009961179,0.24408729363469647
65,Full Feedback,0.6587373150481493,-0.09422366172819983,0.05514362722673523
65,Partial Feedback,1.672966925562078,-0.3004163901917725,0.2808027974171933
66,Full Feedback,0.7453100981930043,0.006101973245178687,-0.005643837664869865
66,Partial Feedback,1.6744728903662414,-0.3192953906420572,0.29274366946788155
67,Full Feedback,0.6282126409065885,0.15619348021887614,0.04204125084322859
67,Partial Feedback,1.55579510031409,-0.250717617727073,0.2262684156238448
68,Full Feedback,0.7285324134137531,-0.16883889169324165,0.06078618824774193
68,Partial Feedback,1.4130186642979146,-0.3965110881020396,0.24396147802368226
69,Full Feedback,0.7161582087059737,-0.04574370952268631,-0.018097366887855282
69,Partial Feedback,1.4817104399436702,-0.44998025529039876,0.32105312962491717
70,Full Feedback,0.42619720845424,0.052989849865513056,0.04910133521820255
70,Partial Feedback,1.5337329736756138,-0.3107478620152525,0.2740379645154293
71,Full Feedback,0.5244214796116514,0.19934417758251832,0.06300640124442634
71,Partial Feedback,1.6819119569424599,-0.3660577862584988,0.28813086803092763
72,Full Feedback,0.8382003547361293,-0.0737309541467529,-6.293225693175999e-4
72,Partial Feedback,1.5644866734776048,-0.32603653835510565,0.2317191213382639
