task,parameter,mean,median,sd,q025,q10,q90,q975
FullcrossNoTimelimited,mu_alpha,0.4445138055547144,0.44157766660390574,0.30557626418484524,-0.1357167957504281,0.05012545929998263,0.8415446432948495,1.0387620270539284
FullcrossNoTimelimited,mu_beta,0.019279087916418254,0.0192620189280466,0.12668541736119182,-0.2287908643087843,-0.1434251310058952,0.18208819012902755,0.26946399253295544
FullcrossNoTimelimited,mu_beta_restored,0.10602253156413245,0.017869437076639277,7.101293432599717,-1.9876534394357597,-0.42440003229273426,0.638915597062694,2.534744477845759
FullcrossNoTimelimited,mu_gamma,-0.04776241538211127,-0.04651598879072384,0.07811747546228834,-0.2009898598824337,-0.14792655244742234,0.051121924996210454,0.10287353283044448
FullcrossTimelimited,mu_alpha,0.6909126973095032,0.6857567640598756,0.30022798018613595,0.1085834256784857,0.3044432623683947,1.0789086012973015,1.2745691022013907
FullcrossTimelimited,mu_beta,0.07620188253713717,0.0753998377897396,0.12624440755059818,-0.17184282575929904,-0.08385856033799824,0.23836310747066622,0.3246640847686143
FullcrossTimelimited,mu_beta_restored,0.17146739727364468,0.1065645337273495,2.6258063200942297,-0.27400457555978724,-0.1251648144011017,0.5041489399114595,1.1744454674498033
FullcrossTimelimited,mu_gamma,0.0652581073779928,0.06414631185163877,0.09044894884461492,-0.10995428471945559,-0.05073075546963781,0.18192135426857356,0.24191579305847263
FulltickNoTimelimited,mu_alpha,0.8121643407590853,0.8076303544263573,0.3028082014759358,0.22102133770737534,0.4217253280683554,1.196567988784133,1.424683485794033
FulltickNoTimelimited,mu_beta,-0.09339679206741608,-0.09141168789034362,0.12977822115470655,-0.34812116212250344,-0.2621315315147118,0.07193700488996649,0.16128003134108435
FulltickNoTimelimited,mu_beta_restored,-0.05073586652559135,-0.11260069107290153,5.62225214560956,-0.5351655288055285,-0.3345134816814169,0.10980109928720669,0.3400086349920169
FulltickNoTimelimited,mu_gamma,-0.05854294458772769,-0.05837176314305044,0.08123720478746997,-0.21464736577372495,-0.16347681222517824,0.04318927361784808,0.10254267215447013
FulltickTimelimited,mu_alpha,0.4664296486201787,0.4620567846435968,0.3084630867755107,-0.14718633528725772,0.07711597387467331,0.8677279403257644,1.0723533228986653
FulltickTimelimited,mu_beta,0.02532036871594507,0.026103734061743766,0.12772579714869503,-0.22967975475183505,-0.14012872160317333,0.18734280820617483,0.27270753826830013
FulltickTimelimited,mu_beta_restored,-0.23253039587789356,0.031184676169434496,20.28769240040157,-1.5426039246103038,-0.3949622542294873,0.596761162117519,2.0117486881237143
FulltickTimelimited,mu_gamma,0.10203232849566353,0.10213644396888957,0.08990640401447127,-0.07613415736599372,-0.011559845963758062,0.21541390619757003,0.28104757417647797
PartialcrossNoTimelimited,mu_alpha,1.5302933586133933,1.523112256626627,0.30836434020367115,0.9230841127468988,1.1422466156026025,1.929069682216804,2.128161911996548
PartialcrossNoTimelimited,mu_beta,-0.49033637171030575,-0.493366175664647,0.16297916621931036,-0.8115675228326014,-0.6956153389588576,-0.28116895728442376,-0.16046471983277635
PartialcrossNoTimelimited,mu_beta_restored,-0.33417630410654836,-0.3211145948535128,0.1356191049262698,-0.6470628112491893,-0.5019302509096674,-0.18016473172321879,-0.10495939695354518
PartialcrossNoTimelimited,mu_gamma,0.2485200924386289,0.2490529733135808,0.09672653628641933,0.06235192273621587,0.1260060107955644,0.3707267582151238,0.43659902372633064
PartialcrossTimelimited,mu_alpha,1.28911146835017,1.2870572305447316,0.351332524544893,0.5971853314232276,0.830763303356779,1.7372677672640857,1.9633061444424045
PartialcrossTimelimited,mu_beta,-0.19055933491447152,-0.19462175203779467,0.1476413113467289,-0.4718603167779302,-0.3752980420707368,-0.001258424230124911,0.110605992654858
PartialcrossTimelimited,mu_beta_restored,-0.1317103701816783,-0.1481123758193415,1.8571018129710726,-0.44939137446040195,-0.3185075840773449,-7.150410348177074e-4,0.10908836412454075
PartialcrossTimelimited,mu_gamma,0.45605808972151596,0.4546487791819576,0.09252804018285618,0.2785011214266484,0.3374522031761057,0.576581697101826,0.6362239589045452
PartialtickNoTimelimited,mu_alpha,1.9924401549683042,1.9946281781049526,0.31045752590743436,1.373206499557478,1.5877765995430995,2.386634844918458,2.598129068049998
PartialtickNoTimelimited,mu_beta,-0.851639443272363,-0.850865272778758,0.14313424957990797,-1.1457466532788043,-1.0310617002166151,-0.6694953821883484,-0.5761621456001191
PartialtickNoTimelimited,mu_beta_restored,-0.4370636039684637,-0.42763016110954455,0.09761655309460227,-0.6580833598367373,-0.5618644230175833,-0.32443885824773033,-0.27285173475142127
PartialtickNoTimelimited,mu_gamma,0.17568400192415126,0.1752861722147196,0.09330495939793589,-0.009271356821656918,0.0563445148176837,0.2962223240041353,0.3607903390841803
PartialtickTimelimited,mu_alpha,1.9243093295746039,1.9229821293384939,0.2731687825656762,1.3911023182485402,1.5846698461151605,2.268107756319824,2.470942889431212
PartialtickTimelimited,mu_beta,-0.9280176866137251,-0.9286838680840723,0.1299243517289813,-1.1825043749932191,-1.0919005679260567,-0.7634271663059677,-0.6761592392267732
PartialtickTimelimited,mu_beta_restored,-0.49146825042811687,-0.4826186531158019,0.09603749703033813,-0.7059741230878682,-0.6123236232906915,-0.3794271658216465,-0.32772488787983645
PartialtickTimelimited,mu_gamma,0.27558258034114896,0.27519943265342806,0.0900227803119512,0.0993669198364073,0.1624622158765027,0.3901851116581252,0.45527413839440445
