participant_index,top1_accuracy
1,0.65
2,0.625
3,0.625
4,1
5,0.55
6,0.625
7,0.55
8,0.525
9,0.575
10,0.55
11,0.725
12,0.575
13,0.575
14,0.65
15,0.575
16,0.6
17,0.5
18,0.675
19,0.6
20,0.525
21,0.475
22,0.75
23,0.55
24,0.7
25,0.725
26,0.7
27,0.575
28,0.575
29,0.575
30,0.775
31,0.575
32,0.55
33,0.65
34,0.6
35,0.475
36,0.55
37,0.9
38,0.55
39,0.5
40,0.6
41,0.625
42,0.65
43,0.575
44,0.65
45,0.5
46,0.525
47,0.65
48,0.625
49,0.6
50,0.575
51,0.625
52,0.55
53,0.475
54,0.525
55,0.7
56,0.675
57,0.575
58,0.575
59,0.775
60,0.525
61,0.55
62,0.575
63,0.65
64,0.525
65,0.55
