participant_index,top1_accuracy
1,0.625
2,0.6
3,0.65
4,1
5,0.65
6,0.55
7,0.575
8,0.525
9,0.6
10,0.525
11,0.975
12,0.525
13,0.55
14,0.575
15,0.575
16,0.5
17,0.625
18,0.85
19,0.65
20,0.575
21,0.65
22,0.75
23,0.55
24,0.825
25,0.55
26,0.725
27,0.575
28,0.525
29,0.65
30,0.65
31,0.625
32,0.5
33,0.825
34,0.5
35,0.575
36,0.575
37,0.7
38,0.625
39,0.475
40,0.65
41,0.725
42,0.725
43,0.65
44,0.775
45,0.525
46,0.625
47,0.575
48,0.5
49,0.625
50,0.375
51,0.625
52,0.5
53,0.575
54,0.6
55,0.625
56,0.575
57,0.575
58,0.55
59,0.475
60,0.625
61,0.575
62,0.525
63,0.625
64,0.65
65,0.525
