participant_index,top1_accuracy
1,0.575
2,0.575
3,0.6
4,1
5,0.55
6,0.65
7,0.6
8,0.575
9,0.65
10,0.525
11,0.6
12,0.55
13,0.675
14,0.525
15,0.725
16,0.725
17,0.575
18,0.7
19,0.65
20,0.525
21,0.575
22,0.85
23,0.6
24,0.725
25,0.775
26,0.65
27,0.5
28,0.65
29,0.525
30,0.6
31,0.6
32,0.575
33,0.725
34,0.6
35,0.65
36,0.675
37,0.625
38,0.625
39,0.525
40,0.575
41,0.575
42,0.675
43,0.6
44,0.675
45,0.525
46,0.6
47,0.6
48,0.5
49,0.725
50,0.55
51,0.6
52,0.55
53,0.575
54,0.55
55,0.525
56,0.525
57,0.625
58,0.625
59,0.725
60,0.6
61,0.75
62,0.625
63,0.675
64,0.475
65,0.825
