participant_index,top1_accuracy
1,0.625
2,0.575
3,0.7
4,1
5,0.675
6,0.55
7,0.55
8,0.5
9,0.675
10,0.625
11,1
12,0.5
13,0.675
14,0.6
15,0.55
16,0.55
17,0.575
18,0.7
19,0.7
20,0.525
21,0.625
22,0.825
23,0.55
24,0.725
25,0.55
26,0.55
27,0.6
28,0.575
29,0.725
30,0.7
31,0.65
32,0.525
33,0.7
34,0.55
35,0.75
36,0.6
37,0.525
38,0.725
39,0.6
40,0.55
41,0.55
42,0.6
43,0.575
44,0.75
45,0.6
46,0.575
47,0.675
48,0.625
49,0.525
50,0.625
51,0.625
52,0.7
53,0.525
54,0.525
55,0.6
56,0.725
57,0.6
58,0.55
59,0.7
60,0.65
61,0.775
62,0.575
63,0.6
64,0.725
65,0.675
