trial,top1_accuracy
1,0.5892857142857143
2,0.625
3,0.5357142857142857
4,0.6964285714285714
5,0.75
6,0.6428571428571429
7,0.6607142857142857
8,0.6607142857142857
9,0.6428571428571429
10,0.625
11,0.6428571428571429
12,0.6964285714285714
13,0.625
14,0.75
15,0.7142857142857143
16,0.75
17,0.7321428571428571
18,0.75
19,0.8035714285714286
20,0.7678571428571429
21,0.6964285714285714
22,0.75
23,0.8035714285714286
24,0.75
25,0.7142857142857143
26,0.7321428571428571
27,0.7321428571428571
28,0.6428571428571429
29,0.6607142857142857
30,0.7321428571428571
31,0.6785714285714286
32,0.6964285714285714
33,0.6785714285714286
34,0.75
35,0.6785714285714286
36,0.7142857142857143
37,0.6428571428571429
38,0.6071428571428571
39,0.6785714285714286
40,0.7142857142857143
