parameter,contrast,n_draws_used,diff_mean,diff_median,diff_q025,diff_q10,diff_q90,diff_q975,p_diff_gt_0,posterior_tail_p
mu_alpha,Full_minus_Partial,6000,-1.0805334548157475,-1.0774819454183646,-1.51957299268284,-1.3593973317499188,-0.8016100650229131,-0.6571992506495181,0,0
mu_alpha,Accept_minus_Reject,6000,0.3101280360235978,0.3097415767123753,-0.1135457495527132,0.02712689659816101,0.5935956717876936,0.7337536686188797,0.921,0.15799999999999992
mu_alpha,TP_minus_NoTP,6000,-0.10216212901026032,-0.09677555677803396,-0.5389129447140806,-0.3933971413472873,0.17585864947478544,0.3276074322327289,0.3255,0.651
mu_beta,Full_minus_Partial,6000,0.6219893459032374,0.6233779737325542,0.4306796396225861,0.49568410085366243,0.74872372589484,0.8115827267325334,1,0
mu_beta,Accept_minus_Reject,6000,-0.31557970426658427,-0.31522686789418014,-0.5042088857049866,-0.4398809664490141,-0.19345329952412002,-0.1275878895129131,6.666666666666666e-4,0.0013333333333333333
mu_beta,TP_minus_NoTP,6000,0.09975968721463806,0.0989674859194393,-0.08981603716249947,-0.025423933174499824,0.2263589267478026,0.29206080407924256,0.8468333333333333,0.30633333333333335
mu_beta_restored,Full_minus_Partial,6000,0.34716054877977487,0.3853366417905517,-0.7965426882416315,0.10203485965341472,0.7398668212795689,1.6809802194866967,0.93,0.1399999999999999
mu_beta_restored,Accept_minus_Reject,6000,-0.255850342837404,-0.17347052316100303,-1.3800305053641795,-0.5030889420147289,0.13294837925211428,0.9634468471543138,0.188,0.376
mu_beta_restored,TP_minus_NoTP,6000,0.00792790595560674,0.0980104752993104,-1.0923388077846172,-0.21159828750469253,0.43365522755494157,1.3918493402124894,0.7065,0.587
mu_gamma,Full_minus_Partial,6000,-0.27371492213040693,-0.27405153076557753,-0.39595087859649747,-0.35462883487349856,-0.19220064980510723,-0.14875507210236938,0,0
mu_gamma,Accept_minus_Reject,6000,-0.05682947699569758,-0.056289671463135925,-0.1829240174866721,-0.136453647619519,0.023147904871010344,0.06654338934075983,0.187,0.374
mu_gamma,TP_minus_NoTP,6000,0.145258092885845,0.14550003795134558,0.02175634449721578,0.06438100990190136,0.22650873516579073,0.26881345253937644,0.99,0.020000000000000018
