participant_id,sequence_id,order_pos,task
P001,1,1,FullcrossNoTimelimited
P001,1,2,FulltickTimelimited
P001,1,3,PartialcrossTimelimited
P001,1,4,PartialtickNoTimelimited
P002,2,1,FulltickTimelimited
P002,2,2,PartialcrossTimelimited
P002,2,3,PartialtickNoTimelimited
P002,2,4,FullcrossNoTimelimited
P003,3,1,PartialcrossTimelimited
P003,3,2,PartialtickNoTimelimited
P003,3,3,FullcrossNoTimelimited
P003,3,4,FulltickTimelimited
P004,4,1,PartialtickNoTimelimited
P004,4,2,FullcrossNoTimelimited
P004,4,3,FulltickTimelimited
P004,4,4,PartialcrossTimelimited
P005,1,1,FullcrossNoTimelimited
P005,1,2,FulltickTimelimited
P005,1,3,PartialcrossTimelimited
P005,1,4,PartialtickNoTimelimited
P006,2,1,FulltickTimelimited
P006,2,2,PartialcrossTimelimited
P006,2,3,PartialtickNoTimelimited
P006,2,4,FullcrossNoTimelimited
P007,3,1,PartialcrossTimelimited
P007,3,2,PartialtickNoTimelimited
P007,3,3,FullcrossNoTimelimited
P007,3,4,FulltickTimelimited
P008,4,1,PartialtickNoTimelimited
P008,4,2,FullcrossNoTimelimited
P008,4,3,FulltickTimelimited
P008,4,4,PartialcrossTimelimited
P009,1,1,FullcrossNoTimelimited
P009,1,2,FulltickTimelimited
P009,1,3,PartialcrossTimelimited
P009,1,4,PartialtickNoTimelimited
P010,2,1,FulltickTimelimited
P010,2,2,PartialcrossTimelimited
P010,2,3,PartialtickNoTimelimited
P010,2,4,FullcrossNoTimelimited
P011,3,1,PartialcrossTimelimited
P011,3,2,PartialtickNoTimelimited
P011,3,3,FullcrossNoTimelimited
P011,3,4,FulltickTimelimited
P012,4,1,PartialtickNoTimelimited
P012,4,2,FullcrossNoTimelimited
P012,4,3,FulltickTimelimited
P012,4,4,PartialcrossTimelimited
P013,1,1,FullcrossNoTimelimited
P013,1,2,FulltickTimelimited
P013,1,3,PartialcrossTimelimited
P013,1,4,PartialtickNoTimelimited
P014,2,1,FulltickTimelimited
P014,2,2,PartialcrossTimelimited
P014,2,3,PartialtickNoTimelimited
P014,2,4,FullcrossNoTimelimited
P015,3,1,PartialcrossTimelimited
P015,3,2,PartialtickNoTimelimited
P015,3,3,FullcrossNoTimelimited
P015,3,4,FulltickTimelimited
P016,4,1,PartialtickNoTimelimited
P016,4,2,FullcrossNoTimelimited
P016,4,3,FulltickTimelimited
P016,4,4,PartialcrossTimelimited
P017,1,1,FullcrossNoTimelimited
P017,1,2,FulltickTimelimited
P017,1,3,PartialcrossTimelimited
P017,1,4,PartialtickNoTimelimited
P018,2,1,FulltickTimelimited
P018,2,2,PartialcrossTimelimited
P018,2,3,PartialtickNoTimelimited
P018,2,4,FullcrossNoTimelimited
P019,3,1,PartialcrossTimelimited
P019,3,2,PartialtickNoTimelimited
P019,3,3,FullcrossNoTimelimited
P019,3,4,FulltickTimelimited
P020,4,1,PartialtickNoTimelimited
P020,4,2,FullcrossNoTimelimited
P020,4,3,FulltickTimelimited
P020,4,4,PartialcrossTimelimited
P021,1,1,FullcrossNoTimelimited
P021,1,2,FulltickTimelimited
P021,1,3,PartialcrossTimelimited
P021,1,4,PartialtickNoTimelimited
P022,2,1,FulltickTimelimited
P022,2,2,PartialcrossTimelimited
P022,2,3,PartialtickNoTimelimited
P022,2,4,FullcrossNoTimelimited
P023,3,1,PartialcrossTimelimited
P023,3,2,PartialtickNoTimelimited
P023,3,3,FullcrossNoTimelimited
P023,3,4,FulltickTimelimited
P024,4,1,PartialtickNoTimelimited
