draw,panel,level,value
1,Overall Feedback,Full,0.39418861392704113
2,Overall Feedback,Full,1.1511572464100044
3,Overall Feedback,Full,1.12743311202121
4,Overall Feedback,Full,0.756605768251346
5,Overall Feedback,Full,1.139229663397344
6,Overall Feedback,Full,0.8378948106784225
7,Overall Feedback,Full,0.5395576407974959
8,Overall Feedback,Full,0.7025630272342014
9,Overall Feedback,Full,0.6443295678643113
10,Overall Feedback,Full,0.7370475809684117
11,Overall Feedback,Full,0.6371189836664576
12,Overall Feedback,Full,0.8523076269161597
13,Overall Feedback,Full,0.6813844492297424
14,Overall Feedback,Full,0.4921580619597443
15,Overall Feedback,Full,1.0310253005693608
16,Overall Feedback,Full,0.1995193078696614
17,Overall Feedback,Full,0.887099592421821
18,Overall Feedback,Full,0.9473099198317823
19,Overall Feedback,Full,0.4918872910254787
20,Overall Feedback,Full,0.6709584292177752
21,Overall Feedback,Full,0.013513404069427512
22,Overall Feedback,Full,0.589902530098762
23,Overall Feedback,Full,1.4925943738987886
24,Overall Feedback,Full,1.270910779185447
25,Overall Feedback,Full,0.32239178494583043
26,Overall Feedback,Full,0.6911577371380505
27,Overall Feedback,Full,0.9201549533023022
28,Overall Feedback,Full,0.752345080500532
29,Overall Feedback,Full,0.5314180759644267
30,Overall Feedback,Full,0.8007906063938934
31,Overall Feedback,Full,0.38770130440330336
32,Overall Feedback,Full,0.6825775118315205
33,Overall Feedback,Full,0.3799188600916349
34,Overall Feedback,Full,0.4823982849828168
35,Overall Feedback,Full,1.0956383924347999
36,Overall Feedback,Full,0.323551845599234
37,Overall Feedback,Full,0.6964404725562849
38,Overall Feedback,Full,0.3812968343219011
39,Overall Feedback,Full,0.8112219920886182
40,Overall Feedback,Full,1.0437972038763605
41,Overall Feedback,Full,0.6110516122716044
42,Overall Feedback,Full,0.505288213019161
43,Overall Feedback,Full,1.2991465923200578
44,Overall Feedback,Full,0.15384129366057406
45,Overall Feedback,Full,0.27184386370330077
46,Overall Feedback,Full,0.5712315791523849
47,Overall Feedback,Full,0.34738810863213665
48,Overall Feedback,Full,0.6867461889699499
49,Overall Feedback,Full,0.5963495233422881
