draw,effect,level,value
1,Feedback,Full,0.17838334439972306
2,Feedback,Full,1.321662517261345
3,Feedback,Full,0.8855719337011311
4,Feedback,Full,0.1080319788353673
5,Feedback,Full,0.09376553921848663
6,Feedback,Full,-5.556846872325257
7,Feedback,Full,0.5463364781553725
8,Feedback,Full,0.8860026395115108
9,Feedback,Full,0.7972680442180126
10,Feedback,Full,-2.9338088664122295
11,Feedback,Full,1.0066317612727005
12,Feedback,Full,0.8523076269161597
13,Feedback,Full,0.91206854162144535
14,Feedback,Full,0.9699270078328295
15,Feedback,Full,1.3591978712028865
16,Feedback,Full,0.12225926574435488
17,Feedback,Full,0.50149543628608
18,Feedback,Full,4.270532547671841
19,Feedback,Full,0.9383719568390181
20,Feedback,Full,3.193789549428634
21,Feedback,Full,-1.2775795997501997
22,Feedback,Full,0.589902530098762
23,Feedback,Full,1.6495504936815326
24,Feedback,Full,1.1959592830054075
25,Feedback,Full,-0.07993979065758729
26,Feedback,Full,1.5160132639315884
27,Feedback,Full,0.12150628297371162
28,Feedback,Full,-1.240564349459976
29,Feedback,Full,2.077867884254302
30,Feedback,Full,0.6317263610913674
31,Feedback,Full,1.294704351252617
32,Feedback,Full,0.38510689646200696
33,Feedback,Full,-0.2675410011393019
34,Feedback,Full,-1.0084903378099446
35,Feedback,Full,1.0956383924347999
36,Feedback,Full,0.5123378911185706
37,Feedback,Full,0.6964404725562849
38,Feedback,Full,0.9282589833149071
39,Feedback,Full,0.8418148032823218
40,Feedback,Full,1.0437972038763605
41,Feedback,Full,0.7717378032708
42,Feedback,Full,3.892384571370008
43,Feedback,Full,0.8643640451153592
44,Feedback,Full,-0.03224520428498109
45,Feedback,Full,0.27184386370330077
46,Feedback,Full,0.5644967297199963
47,Feedback,Full,-0.09261078857512356
48,Feedback,Full,0.479412621696624
49,Feedback,Full,0.7811887802618731
50,Feedback,Full,0.8476577906009877
51,Feedback,Full,-0.22928366760101512
52,Feedback,Full,4.79397598776844
53,Feedback,Full,1.0042558799746042
54,Feedback,Full,1.1989606873950986
55,Feedback,Full,0.12221625168819662
