parameter,mean,se_mean,sd,2.5%,50%,97.5%,n_eff,Rhat
mu_alpha,2.712799935077314,0.003332876334425047,0.2428213158695002,2.23120032546899,2.712929082795287,3.191803645327727,5308.052594426215,0.9995435191081401
mu_beta,2.3774512887228374,0.003230484868065107,0.27010848994595565,1.855648869048397,2.3777310947459807,2.891973947361399,6991.028100108608,0.9992595793777478
mu_gamma,0.2036257026296407,0.0014688207166930454,0.04953805900789022,0.1062783771616645,0.2041490719355677,0.29924188444300903,1137.4711585825862,1.0017497018160795
sigma_alpha,1.6945764208793765,0.00432950900277259,0.20118870167472808,1.3253138077613478,1.6878543689695167,2.1282076109220176,2159.384013970122,1.0000218988572016
sigma_beta,0.6069209306815727,0.010662986283382218,0.28639626010302455,0.06444785396051271,0.6156016987249642,1.1723545099178359,721.4014050099765,1.0016838195220046
sigma_gamma,0.5244029952760902,0.0011890090993873794,0.041181793162935944,0.4510420875970748,0.5220440373454343,0.6126883802499705,1199.6101992106853,1.0014945400479174
eff_alpha_feedback,-1.030800807128364,0.00471188074589816,0.3732749004067458,-1.749161989317706,-1.0360288436993172,-0.2835907142897519,6275.798571790962,0.9995706552296322
eff_alpha_tp,-0.30091320923337905,0.0038812826369845604,0.3097718711167397,-0.910290446039417,-0.3056857260444409,0.31231985517266536,6369.911803073717,0.9995679343447634
eff_alpha_frame,0.7166972877438683,0.0034790466329884468,0.3066524396652859,0.10812088671736877,0.7150674251554775,1.3193712020232629,7769.129280530139,0.9998609994190758
eff_beta_feedback,-1.2278147514548208,0.00529213613556493,0.44892424591600205,-2.1091056544707105,-1.226719041520436,-0.3457356322673547,7195.883252021649,0.9994883388238234
eff_beta_tp,0.10283118704971607,0.0034997425187076837,0.27164042966089763,-0.43651183041842934,0.10159266708667206,0.6393894099608233,6024.439256309674,0.9993920658385912
eff_beta_frame,-0.032330984240513526,0.003224478231661464,0.2703019131443433,-0.5658147827143274,-0.028547513445634356,0.4936036058059427,7027.151883083382,0.9997955238030634
eff_gamma_feedback,-0.35150409854203735,0.0029963746483012113,0.09947943259845077,-0.5439780207739655,-0.3529504741072429,-0.15640833066163118,1102.2354411122099,1.0007233560965347
eff_gamma_tp,0.14107103959235562,3.239642971452413e-4,0.030309614281488716,0.08177783102263032,0.14168688229716914,0.19991120761738346,8753.193261307366,0.999304765334696
eff_gamma_frame,-0.04583556237022881,3.235754886488148e-4,0.03132731889783818,-0.10910137795009268,-0.04599243017357296,0.013720575737320495,9373.358434748461,0.9993594771204584
