alpha_threshold_for_beta_restored,parameter,effect,contrast,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
0.05,alpha,Feedback,Full - Partial,2.2565994439609347,3.7285842248960726,-1.4719847809351378,-2.14967712849364,-0.7651939099700292,FALSE,Below 0,0,0
0.05,alpha,Full: Time Pressure,TP - No TP,2.1061428393442454,2.4070560485776245,-0.30091320923337905,-0.9102904460394171,0.3123198551726654,TRUE,Crosses 0,0.16675,0.3335
0.05,alpha,Partial: Time Pressure,TP - No TP,3.578127620279383,3.879040829512762,-0.30091320923337905,-0.9102904460394171,0.31231985517266564,TRUE,Crosses 0,0.16675,0.3335
0.05,alpha,Full: Choice Frame,Accept - Reject,2.614948087832869,1.8982508000890006,0.7166972877438683,0.10812088671736834,1.319371202023263,FALSE,Above 0,0.99175,0.01649999999999996
0.05,alpha,Partial: Choice Frame,Accept - Reject,4.086932868768007,3.3702355810241382,0.7166972877438683,0.10812088671736879,1.3193712020232633,FALSE,Above 0,0.99175,0.01649999999999996
0.05,gamma,Feedback,Full - Partial,0.02545617346740475,0.38753213700051264,-0.3620759635331079,-0.42485685199337797,-0.30083779140600553,FALSE,Below 0,0,0
0.05,gamma,Full: Time Pressure,TP - No TP,0.09599169326358256,-0.045079346328773064,0.14107103959235562,0.08177783102263034,0.19991120761738346,FALSE,Above 0,1,0
0.05,gamma,Partial: Time Pressure,TP - No TP,0.4580676567966905,0.3169966172043348,0.14107103959235562,0.08177783102263037,0.19991120761738346,FALSE,Above 0,1,0
0.05,gamma,Full: Choice Frame,Accept - Reject,0.0025383922822903447,0.048373954652519154,-0.04583556237022881,-0.10910137795009268,0.013720575737320502,TRUE,Crosses 0,0.07325,0.1465
0.05,gamma,Partial: Choice Frame,Accept - Reject,0.36461435581539825,0.41044991818562704,-0.04583556237022881,-0.10910137795009266,0.013720575737320464,TRUE,Crosses 0,0.07325,0.1465
0.05,beta_restored,Feedback,Full - Partial,0.7831018990607761,1.060638719604717,-0.2775368205439407,-1.0712514570693787,0.5532668001149007,TRUE,Crosses 0,0.23325,0.4665
0.05,beta_restored,Full: Time Pressure,TP - No TP,0.81330197110595,0.7528780862118689,0.06042388489408123,-0.9146648881173727,0.9347872459040533,TRUE,Crosses 0,0.5885,0.823
0.05,beta_restored,Partial: Time Pressure,TP - No TP,1.1166119463190174,1.0047354722942532,0.11187647402476435,-0.7435924683322178,0.8574123169034175,TRUE,Crosses 0,0.66925,0.6615
0.05,beta_restored,Full: Choice Frame,Accept - Reject,0.765560310563779,0.800638601376652,-0.035078290812872864,-1.0235559105366312,1.1259294052344868,TRUE,Crosses 0,0.4405,0.881
0.05,beta_restored,Partial: Choice Frame,Accept - Reject,0.9559853309821498,1.1655030173126149,-0.209517686330465,-1.0400147119159722,0.8226628276851201,TRUE,Crosses 0,0.2755,0.551
