parameter,effect,contrast,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
alpha,Feedback Main,Full - Partial,-1.0534495514334048,-1.7983964913040213,-0.3037865812248253,FALSE,Below 0,0.003,0.006
alpha,Time Pressure Main,TP - No TP,-0.29418565748701864,-0.912871585220901,0.31201645821858653,TRUE,Crosses 0,0.1805,0.361
alpha,Choice Frame Main,Accept - Reject,0.6854973942792091,0.05561878504947082,1.2910963123167158,FALSE,Above 0,0.98425,0.031500000000000083
alpha,Feedback x TP,(Full-Partial) x (TP-NoTP),0.004964703859980942,-0.8345296400667271,0.8470475036052404,TRUE,Crosses 0,0.497,0.994
alpha,Feedback x Frame,(Full-Partial) x (Accept-Reject),-0.4461859448687485,-1.3107066804802532,0.4007057586235047,TRUE,Crosses 0,0.151,0.302
alpha,TP x Frame,(TP-NoTP) x (Accept-Reject),0.42969356800129266,-0.35559179102380123,1.1982428314416411,TRUE,Crosses 0,0.861,0.278
beta,Feedback Main,Full - Partial,-1.2322715845518135,-2.11036127840243,-0.32122133495375776,FALSE,Below 0,0.00425,0.0085
beta,Time Pressure Main,TP - No TP,0.10796405932368977,-0.5202423830895622,0.7339456247391403,TRUE,Crosses 0,0.629,0.742
beta,Choice Frame Main,Accept - Reject,0.009378886242071479,-0.6093457914690968,0.634826765986463,TRUE,Crosses 0,0.50075,0.9984999999999999
beta,Feedback x TP,(Full-Partial) x (TP-NoTP),-0.03715938607118228,-0.9522443181568658,0.8711868847326716,TRUE,Crosses 0,0.46375,0.9275
beta,Feedback x Frame,(Full-Partial) x (Accept-Reject),7.171866398464051e-4,-0.8982168077219517,0.9086724945190837,TRUE,Crosses 0,0.49575,0.9915
beta,TP x Frame,(TP-NoTP) x (Accept-Reject),0.21322755947337593,-0.48454542341555534,0.9239140268645618,TRUE,Crosses 0,0.724,0.552
gamma,Feedback Main,Full - Partial,-0.3482505576694196,-0.5473145989599674,-0.1454609962948137,FALSE,Below 0,2.5e-4,5e-4
gamma,Time Pressure Main,TP - No TP,0.1429854621378981,0.0827358828447923,0.20353060545546908,FALSE,Above 0,1,0
gamma,Choice Frame Main,Accept - Reject,-0.05630912983670926,-0.11868864987630898,0.005343146340873434,TRUE,Crosses 0,0.03625,0.0725
gamma,Feedback x TP,(Full-Partial) x (TP-NoTP),-0.02456873843443095,-0.14767710764933853,0.09674295390989282,TRUE,Crosses 0,0.342,0.684
gamma,Feedback x Frame,(Full-Partial) x (Accept-Reject),0.12750620813752866,0.00510562735461619,0.2506759548524484,FALSE,Above 0,0.97875,0.04249999999999998
gamma,TP x Frame,(TP-NoTP) x (Accept-Reject),0.012805867930094455,-0.10836808249136091,0.13231586713998192,TRUE,Crosses 0,0.58425,0.8314999999999999
