changed_factor,contrast_label,fixed_context,task_plus,task_minus,diff_mean_alpha,diff_mean_beta,diff_mean_gamma,diff_hdi95_lo_alpha,diff_hdi95_lo_beta,diff_hdi95_lo_gamma,diff_hdi95_hi_alpha,diff_hdi95_hi_beta,diff_hdi95_hi_gamma,hdi95_crosses_zero_alpha,hdi95_crosses_zero_beta,hdi95_crosses_zero_gamma,posterior_tail_p_alpha,posterior_tail_p_beta,posterior_tail_p_gamma
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,0.24755763784418852,-0.09687630017469329,0.0010410402670078473,-0.684575562032594,-1.0785589459109461,-0.09876938318775241,1.1264514748852228,0.9053390299680686,0.09659120147644536,TRUE,TRUE,TRUE,0.603,0.849,0.967
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,0.6772512058454812,0.11635125929868265,0.013846908197102303,-0.22890349758042042,-0.8955996275934875,-0.08397816229080582,1.5593005862103888,1.1503619334640336,0.11473210055818915,TRUE,TRUE,TRUE,0.146,0.84,0.791
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,0.693743582712937,-0.09759348681453968,-0.1264651678705208,-0.06626577129196454,-0.7541502947297262,-0.23616444642821452,1.4855470805922717,0.5594959668011623,-0.01546479150910626,TRUE,TRUE,FALSE,0.08,0.758,0.0245
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,1.1234371507142298,0.11563407265883627,-0.11365929994042637,0.35989451396341093,-0.5378485116542924,-0.22690811422349483,1.8989377402626617,0.7885701017071766,-0.0027107585470419362,FALSE,TRUE,FALSE,0.0035,0.7645,0.0455
Feedback,Full - Partial,"TP=No TP, Frame=Accept",FulltickNoTimelimited,PartialtickNoTimelimited,-1.2790248757977696,-1.2133332981962992,-0.2722130843834398,-2.2074054593938635,-2.2925575466121804,-0.490690123710633,-0.3351235442278055,-0.12355558070376721,-0.050853377222778814,FALSE,FALSE,FALSE,0.008,0.0325,0.0175
Feedback,Full - Partial,"TP=No TP, Frame=Reject",FullcrossNoTimelimited,PartialcrossNoTimelimited,-0.8328389309290211,-1.2140504848361455,-0.39971929252096844,-1.774253905899835,-2.2578505682070795,-0.6193221998273275,0.0992770327441009,-0.17348110353729845,-0.18444684849165233,TRUE,FALSE,FALSE,0.088,0.027,0
Feedback,Full - Partial,"TP=TP, Frame=Accept",FulltickTimelimited,PartialtickTimelimited,-1.2740601719377886,-1.2504926842674815,-0.29678182281787074,-2.2426974625734433,-2.3215966389603917,-0.5090541713998047,-0.3146283931964215,-0.10521034924115368,-0.08323088875355633,FALSE,FALSE,FALSE,0.0075,0.03,0.0085
Feedback,Full - Partial,"TP=TP, Frame=Reject",FullcrossTimelimited,PartialcrossTimelimited,-0.8278742270690401,-1.2512098709073278,-0.4242880309553994,-1.7505959311673271,-2.3526543828724176,-0.6388802259181207,0.14288031192662765,-0.14379317024001706,-0.20299164675396136,TRUE,FALSE,FALSE,0.0925,0.03,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,-0.07685652155638184,0.1959981460247866,0.13710402688572984,-0.9710379636635859,-0.8113758260142925,0.03718204910639894,0.8395905442102516,1.178713228042808,0.23386991350502911,TRUE,TRUE,FALSE,0.866,0.7225,0.012
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,-0.5065500895576746,-0.017229413448589335,0.1242981589556354,-1.4356948183047684,-1.0511597333124418,0.023386653371182457,0.4438641388878515,0.984719542375477,0.2275261133518446,TRUE,TRUE,FALSE,0.285,0.9755,0.0175
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,-0.08182122541636279,0.23315753209596887,0.1616727653201608,-0.8292808398753293,-0.44354842226892166,0.05438817634968633,0.6833669924873756,0.8984843919134115,0.2707841652972328,TRUE,TRUE,FALSE,0.8325,0.484,0.004
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,-0.5115147934176555,0.01992997262259294,0.14886689739006634,-1.296209053399467,-0.6487938898133262,0.03834256234446364,0.2546962924188105,0.7200665745438437,0.25911986960730815,TRUE,TRUE,FALSE,0.204,0.947,0.0095
