parameter,mean,se_mean,sd,2.5%,50%,97.5%,n_eff,Rhat
mu_alpha,2.7101708413355783,0.004577658625513516,0.24942065560310875,2.2231874827307285,2.710055279516769,3.1964991754955334,2968.7800844851004,1.0005527848743014
mu_beta,2.385217787455737,0.004335437443747252,0.2868379834708725,1.821966362538077,2.389250489967168,2.9373626852919874,4377.311700366944,0.9993374085417681
mu_gamma,0.20440251488325156,0.0019675904225773624,0.049383812401465305,0.107948485433809,0.20460886489339553,0.30086179057213197,629.9409317752464,1.001745185810156
sigma_alpha,1.7004466217363536,0.004543256878629813,0.19943666273422117,1.3262749484908127,1.6905854800221736,2.111779303329937,1926.9720304738314,1.0001695887311213
sigma_beta,0.582059186806649,0.012360496440821486,0.2945130266124125,0.0451742147700617,0.5894755124575171,1.1544852463956234,567.7239161906194,1.0024942530199026
sigma_gamma,0.5266012526155159,0.001382883511409227,0.04038699654515418,0.4538678284981477,0.5244384949177283,0.6119792144748162,852.9271082890443,1.0004907884882863
eff_alpha_feedback,-1.0534495514334048,0.005348736738094859,0.37913858271896456,-1.7983964913040213,-1.0561390852168866,-0.3037865812248253,5024.507735819006,0.9996213985069168
eff_alpha_tp,-0.29418565748701864,0.004540980463661642,0.31600361391071996,-0.912871585220901,-0.2945214318149753,0.31201645821858653,4842.669513820477,0.9999513570801093
eff_alpha_frame,0.6854973942792091,0.004200428632410081,0.31471281096660103,0.05561878504947082,0.6878471636057735,1.2910963123167158,5613.602069849609,0.99956353427369
eff_alpha_feedback_tp,0.004964703859980942,0.0054540308458945275,0.42976699297732274,-0.8345296400667271,-0.003050724705348626,0.8470475036052404,6209.132616793719,0.9996424053956762
eff_alpha_feedback_frame,-0.4461859448687485,0.005909776227630559,0.43309585751503604,-1.3107066804802532,-0.4454161831626595,0.4007057586235047,5370.639307944945,0.9993763773426745
eff_alpha_tp_frame,0.42969356800129266,0.005281170899149671,0.396994190330867,-0.35559179102380123,0.43305863305851766,1.1982428314416411,5650.772975663932,0.9991181506817469
eff_beta_feedback,-1.2322715845518135,0.006758076252074814,0.45836592113693386,-2.11036127840243,-1.2258960887184933,-0.32122133495375776,4600.218568391278,0.9996338300951016
eff_beta_tp,0.10796405932368977,0.004996581004046032,0.32343014201353004,-0.5202423830895622,0.10744594861324938,0.7339456247391403,4190.010563009769,0.9997719568411215
eff_beta_frame,0.009378886242071479,0.00484395106070968,0.32256212473600915,-0.6093457914690968,0.0010081453945231505,0.634826765986463,4434.3222293395365,1.0002913469890566
eff_beta_feedback_tp,-0.03715938607118228,0.006931530753541801,0.4630726203584918,-0.9522443181568658,-0.03938142395747176,0.8711868847326716,4463.13371466349,1.0001532647682398
eff_beta_feedback_frame,7.171866398464051e-4,0.0057950199350579185,0.460334203106286,-0.8982168077219517,-0.006016067996701518,0.9086724945190837,6310.105498820253,0.9997652337901217
eff_beta_tp_frame,0.21322755947337593,0.004778448901068195,0.3649770478235187,-0.48454542341555534,0.20887686313065876,0.9239140268645618,5833.876292018917,0.9996201949536684
eff_gamma_feedback,-0.3482505576694196,0.004020227153710235,0.10183906539173682,-0.5473145989599674,-0.3475809549453168,-0.1454609962948137,641.6934773765441,1.0058579252706537
eff_gamma_tp,0.1429854621378981,3.573756636761846e-4,0.031016106852490528,0.0827358828447923,0.14312164131946128,0.20353060545546908,7532.248135369427,0.9992168585381634
eff_gamma_frame,-0.05630912983670926,3.910154220608119e-4,0.031515241732836215,-0.11868864987630898,-0.055917798930354895,0.005343146340873434,6496.112116528769,0.9997452413106337
eff_gamma_feedback_tp,-0.02456873843443095,8.465906558207939e-4,0.06188855532635993,-0.14767710764933853,-0.024773488268822697,0.09674295390989282,5344.08981764053,0.9998766070113727
eff_gamma_feedback_frame,0.12750620813752866,9.150643858510257e-4,0.06213400864533225,0.00510562735461619,0.12542260111752862,0.2506759548524484,4610.578715019437,0.9994369477015829
eff_gamma_tp_frame,0.012805867930094455,7.448997737970297e-4,0.06168408716421502,-0.10836808249136091,0.014496079343922642,0.13231586713998192,6857.259732961517,0.9999093735166672
