parameter,mean,se_mean,sd,2.5%,50%,97.5%,n_eff,Rhat
mu_alpha_chosen_logit,0.7017205355948314,0.0040238418423927756,0.20785463429939183,0.3040945802304568,0.6972838171729594,1.1150066968969616,2668.3182038657737,1.0016155815463421
mu_alpha_cf_logit,1.3849815581700338,0.00601324553533346,0.3793567203393881,0.7297241066917917,1.35714569271114,2.2218567268757545,3979.9506689123486,1.0000292809794
mu_log_beta,0.8410681084877542,0.0025839006373337475,0.09578124914678454,0.6472662409081805,0.8453302191727732,1.0196648189261208,1374.071637101519,1.0025681067692995
mu_gamma,0.07003299425937023,0.002105064071584897,0.053726833119987154,-0.03622544969097025,0.07068839160468485,0.17509060379598396,651.4061381380413,1.0034536619542664
mu_rho,-0.009052059139254007,1.8539214582644626e-4,0.01127053285031139,-0.031077013198537777,-0.009199595024065286,0.01329142889048184,3695.781063684195,1.000213440783178
beta_feedback_shift,-0.6110987372377935,0.005864799248307902,0.2935311168122279,-1.148986776995377,-0.6291899861173018,0.012993121617164973,2504.9669038330485,1.000338310304788
beta_tp_shift,-0.1079508043021882,0.004917527430472878,0.26149298604654614,-0.6361819022724196,-0.10795145296444533,0.4178360861528992,2827.655560600161,1.0000514847879625
gamma_tp_shift,0.14642173933607094,0.0022171734331803117,0.11548503043764237,-0.08603165122230842,0.14614006608220179,0.377264196617497,2713.01412005692,1.000213004593371
gamma_frame_shift,-0.13177684874082432,0.0025105743584495476,0.11764445269341815,-0.37116862490308267,-0.13114489229829285,0.10606031716522075,2195.8199651833474,1.0027422278740525
rho_frame_shift,-0.010219973736841229,6.064608391269222e-4,0.0322092895395122,-0.07896658443668016,-0.009327919033064451,0.052712056800723606,2820.6991381687126,1.0014076397289624
sigma_alpha_chosen,1.214162255448714,0.006169596898761088,0.23304533379029005,0.774722555696581,1.210449235077301,1.687247216808535,1426.8136122849737,1.0028601746510881
sigma_alpha_cf,0.4255667335268362,0.00799081291031039,0.31654910743727493,0.018263628105566844,0.36092004955291856,1.18896078435137,1569.2793551718025,1.0019694936316357
sigma_log_beta,0.7204774110564173,0.0022848027156615316,0.0832661680001056,0.5694182432584696,0.7159046215687391,0.9030048716515786,1328.1274236165254,0.999249190513556
sigma_gamma,0.5464125600969559,0.001119019287620464,0.04251132896701939,0.4687925396942652,0.5444667117391168,0.6335817470631816,1443.2255853443687,1.0011334559714167
sigma_rho,0.07978961871291598,3.6454750035157864e-4,0.013797893374755961,0.0530815847653768,0.07965830531554705,0.10724031140919876,1432.5748408298846,1.003225552182916
sigma_task_beta,0.42036074642783217,0.0026169541791266834,0.13377222431517943,0.22824608434125737,0.3968676647111291,0.7434232543341117,2613.001504320261,0.9992457185850018
sigma_task_gamma,0.1507973044646544,0.0020001904599767717,0.07224754789978279,0.05927248853432603,0.13528267030754254,0.32613717910741025,1304.678543505957,1.00431687503447
sigma_task_rho,0.03296174259334629,6.967594677592357e-4,0.023118215586640532,0.0021238592730973534,0.02930602834305951,0.08494166021865737,1100.88729905952,1.0015600229135662
