task,parameter,mean,median,hdi95_lo,hdi95_hi,feedback,time_pressure,frame
FulltickNoTimelimited,beta_value,1.8916193048426038,1.8804813379223846,1.466565664374877,2.3762158969501814,Full,No TP,Accept
FulltickTimelimited,beta_value,2.5174800310385583,2.5159790106307467,2.0785060284263546,2.970527032842224,Full,TP,Accept
FullcrossNoTimelimited,beta_value,2.326671032753346,2.31838768527146,1.9168357886861633,2.7832670093682217,Full,No TP,Reject
FullcrossTimelimited,beta_value,1.3574674483566584,1.3513621320605096,0.9745961408921605,1.7730745954645795,Full,TP,Reject
PartialtickNoTimelimited,beta_value,5.609465823515114,5.594768276737485,4.610948496250535,6.696990982094563,Partial,No TP,Accept
PartialtickTimelimited,beta_value,6.288362192158039,6.272588336957954,5.215044567965967,7.460177111330674,Partial,TP,Accept
PartialcrossNoTimelimited,beta_value,4.009734253261319,3.9914952231528558,3.2314848955247335,4.876045494782738,Partial,No TP,Reject
PartialcrossTimelimited,beta_value,2.544321894190036,2.5312222794332446,1.8729659939970127,3.3043770533827357,Partial,TP,Reject
FulltickNoTimelimited,cf_contrib,0.7839638567326551,0.7864828925395975,0.6664983137167253,0.8920069197753693,Full,No TP,Accept
FulltickTimelimited,cf_contrib,0.7839638567326551,0.7864828925395975,0.6664983137167253,0.8920069197753693,Full,TP,Accept
FullcrossNoTimelimited,cf_contrib,0.7839638567326551,0.7864828925395975,0.6664983137167253,0.8920069197753693,Full,No TP,Reject
FullcrossTimelimited,cf_contrib,0.7839638567326551,0.7864828925395975,0.6664983137167253,0.8920069197753693,Full,TP,Reject
PartialtickNoTimelimited,cf_contrib,0,0,0,0,Partial,No TP,Accept
PartialtickTimelimited,cf_contrib,0,0,0,0,Partial,TP,Accept
PartialcrossNoTimelimited,cf_contrib,0,0,0,0,Partial,No TP,Reject
PartialcrossTimelimited,cf_contrib,0,0,0,0,Partial,TP,Reject
FulltickNoTimelimited,gamma,-0.07276533791465897,-0.07211812885141643,-0.15267247957050145,0.008108148044795602,Full,No TP,Accept
FulltickTimelimited,gamma,0.08739822246920348,0.08730834447346017,0.00246371901507683,0.17231873182638244,Full,TP,Accept
FullcrossNoTimelimited,gamma,-0.05569562187888518,-0.056221066793277236,-0.14088224465527044,0.02915679602366996,Full,No TP,Reject
FullcrossTimelimited,gamma,0.07869632857034844,0.07894265705159925,-0.004172645402807143,0.15740709208929576,Full,TP,Reject
PartialtickNoTimelimited,gamma,-0.024785641852140418,-0.02495689254302634,-0.13307777732604417,0.08093623457007734,Partial,No TP,Accept
PartialtickTimelimited,gamma,0.04366421855035428,0.04305056790547575,-0.0682324967996302,0.15894729425892243,Partial,TP,Accept
PartialcrossNoTimelimited,gamma,0.15146200978240618,0.15064114272588494,0.04928725338432625,0.2533687555499635,Partial,No TP,Reject
PartialcrossTimelimited,gamma,0.4044449675097901,0.4037876099172665,0.30827779529225285,0.5003854758114724,Partial,TP,Reject
FulltickNoTimelimited,rho_risky,0.0065921907626405275,0.006169904938374772,-0.028604189616285133,0.04206427269980238,Full,No TP,Accept
FulltickTimelimited,rho_risky,0.022915422670403623,0.02200695067184123,-0.015613795101381688,0.06599541594844939,Full,TP,Accept
FullcrossNoTimelimited,rho_risky,0.009002774705861033,0.008937766061245316,-0.026827234544828004,0.044079403827328396,Full,No TP,Reject
FullcrossTimelimited,rho_risky,0.008834354437433373,0.008834927105079158,-0.025812472744801692,0.04370970095001344,Full,TP,Reject
PartialtickNoTimelimited,rho_risky,-0.04743746155915417,-0.04566929528263884,-0.10078493452005396,-0.002441188867254349,Partial,No TP,Accept
PartialtickTimelimited,rho_risky,-0.03953984053883345,-0.0378652130984638,-0.09145868083199113,0.0039646758734774665,Partial,TP,Accept
PartialcrossNoTimelimited,rho_risky,-0.02723528333193402,-0.026396599241621663,-0.07214674124124505,0.013961775815747436,Partial,No TP,Reject
PartialcrossTimelimited,rho_risky,-0.0102643861085639,-0.010940000775475852,-0.04971633360618963,0.03196755623367947,Partial,TP,Reject
