task,participant_id,alpha_true,beta_true,gamma_true,alpha_rec,beta_rec,gamma_rec,alpha_error,beta_error,gamma_error
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,0.6412799213604694,0.12971060773705165,0.4774164265558215,0.1463676030282905,0.0034823156864124947,0.4228356786568183,-0.4949123183321789,-0.12622829205063915,-0.05458074789900319
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,0.7754237014337133,0.05985814916457725,0.7422355297131912,0.05925329545347838,-0.007521017255019874,0.3493952265485265,-0.716170405980235,-0.06737916641959713,-0.3928403031646647
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,0.4576696385275265,0.0701356019694799,0.3040527517977064,0.15020780691878172,0.00289459777639822,-0.16153395488457445,-0.3074618316087448,-0.06724100419308168,-0.46558670668228086
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,0.6299942465058536,0.18841228145780092,1.2680613854689906,0.10127534244462193,-0.01888980793744704,0.6542860261412475,-0.5287189040612317,-0.20730208939524797,-0.6137753593277431
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,0.6176217058814395,0.1802887948919631,-0.2569889992971308,0.19015726243413678,-0.004606454755564699,-0.3811130746529079,-0.4274644434473027,-0.1848952496475278,-0.12412407535577707
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,0.6816598514543386,0.03247497453371476,-0.05493694178163871,0.18506285780775508,0.002460214041185713,-0.23848513344203792,-0.4965969936465835,-0.030014760492529043,-0.1835481916603992
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,0.44345892665354203,0.1554846161111603,-0.35716133854274984,0.07076212810101913,-0.013503226131949257,-0.30871992797373676,-0.3726967985525229,-0.16898784224310956,0.04844141056901308
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,0.5845208637609535,-0.08162524914347567,0.480514651290155,0.24000980089276658,0.0036029100431923507,0.4994745136803109,-0.3445110628681869,0.08522815918666803,0.0189598623901559
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,0.470207127807309,0.19499234945146332,0.11205265878418948,0.22029295525459694,-0.006166027423524314,-0.1602985680712372,-0.24991417255271206,-0.20115837687498764,-0.2723512268554267
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,0.5396020056794723,0.20959384658065874,-0.0982867951314116,0.13593862979165477,-0.012754701077802227,0.048933179243199544,-0.4036633758878175,-0.22234854765846096,0.14721997437461115
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,0.5019745196177879,0.18991553767160896,-0.5397244163058289,0.24774161777918163,-0.011980576987599282,-0.3155695145941377,-0.2542329018386063,-0.20189611465920823,0.22415490171169122
