task,parameter,draw_id,n_participants,pearson_r,spearman_rho,rmse,mean_true,mean_recovered,bias,error_hdi95_low,error_hdi95_high,hdi95_crosses_zero,n_divergent,max_rhat,min_n_eff
FullcrossNoTimelimited,alpha,2590,65,0.058868107464474274,0.08588286713286714,0.4087809334491956,0.5218987782506602,0.16579566453515202,-0.3561031137155082,-0.7023380828123725,0.03953797258242743,TRUE,0,1.3132920667847325,2.016086930267965
FullcrossNoTimelimited,beta,2590,65,-0.02221285582653529,-0.09383741258741259,0.14221293050649897,0.10875077230235146,-0.0045273882985794,-0.11327816060093085,-0.2563999032240774,0.08428440714116994,TRUE,0,1.3132920667847325,2.016086930267965
FullcrossNoTimelimited,gamma,2590,65,0.8371032137784327,0.7688374125874126,0.3094752890909378,-0.11466064281843776,-0.17900879888980623,-0.06434815607136848,-0.5539025312857895,0.5091934234288943,TRUE,0,1.3132920667847325,2.016086930267965
FullcrossTimelimited,alpha,4544,65,-0.0682822555806665,-0.13929195804195804,0.41233367970051255,0.6652008725722138,0.48419112400516706,-0.1810097485670468,-0.8512413129301029,0.41947846633133334,TRUE,0,1.3514663767280146,2.0157388665898095
FullcrossTimelimited,beta,4544,65,-0.10015851040240588,-0.11988636363636364,0.22714998985440046,0.02161827473006507,0.013050664769719259,-0.008567609960345814,-0.3952845880415937,0.410750989726334,TRUE,0,1.3514663767280146,2.0157388665898095
FullcrossTimelimited,gamma,4544,65,0.8791971305909826,0.8326923076923077,0.2954285498485268,0.014694467331665517,0.0021274170721962966,-0.01256705025946922,-0.574338080426929,0.5563229392390878,TRUE,0,1.3514663767280146,2.0157388665898095
FulltickNoTimelimited,alpha,557,65,-0.08835874544271778,-0.10895979020979021,0.5031131113677503,0.5252268227692435,0.07575668241104126,-0.44947014035820226,-0.9078319186119397,-0.04039723415758869,FALSE,0,1.3474779648603683,2.0154258718550646
FulltickNoTimelimited,beta,557,65,-0.21970543772739665,-0.22403846153846155,0.32582296272050604,-0.268432277989984,0.020844630933253068,0.2892769089232371,0.008547995671477428,0.5893326574965942,FALSE,0,1.3474779648603683,2.0154258718550646
FulltickNoTimelimited,gamma,557,65,0.8752054400212551,0.85506993006993,0.2525475182495549,0.024733158940780084,0.056710701854050374,0.03197754291327029,-0.44080976844667763,0.530852261337033,TRUE,0,1.3474779648603683,2.0154258718550646
FulltickTimelimited,alpha,4024,65,0.06602699070888436,0.020236013986013986,0.291874605467627,0.18274754428451961,-0.1007347559109022,-0.2834823001954218,-0.386170637013923,-0.1394010987051374,FALSE,0,1.4534279680769673,2.0165004865592375
FulltickTimelimited,beta,4024,65,-0.12787838331274035,-0.14427447552447553,0.20291185401186201,0.12259617672334043,0.020461208207149084,-0.10213496851619135,-0.4400825400997922,0.24444382032699674,TRUE,0,1.4534279680769673,2.0165004865592375
FulltickTimelimited,gamma,4024,65,0.8574757282314199,0.8451486013986014,0.29704480743250244,0.16413046141136323,0.20885227203386134,0.044721810622498095,-0.5402148201697015,0.5697187212540287,TRUE,0,1.4534279680769673,2.0165004865592375
PartialcrossNoTimelimited,alpha,5,56,-0.11594909108053668,-0.13110047846889952,0.8355203928717826,1.6062051449890193,0.8483900723355066,-0.7578150726535129,-1.4286472888193615,-0.12375938243121731,FALSE,0,2.198670118279989,2.0099497603715992
PartialcrossNoTimelimited,beta,5,56,0.4477863429826202,0.37580314422419686,0.9046842951969233,-0.5718302738682737,-0.6229234971910823,-0.0510932233228086,-1.7519797950988225,2.0006486732636786,TRUE,0,2.198670118279989,2.0099497603715992
PartialcrossNoTimelimited,gamma,5,56,0.8891816960228942,0.861244019138756,0.24254287250147552,0.23605498596744906,0.21866967484054495,-0.01738531112690412,-0.450843398452809,0.4299861545750336,TRUE,0,2.198670118279989,2.0099497603715992
PartialcrossTimelimited,alpha,2666,56,0.13627854074616982,0.0975393028024607,1.021711465684153,2.20291680875194,1.2448339483803492,-0.958082860371591,-1.5956572608472284,-0.21365976637543524,FALSE,0,1.8478241440081034,2.01085590003624
PartialcrossTimelimited,beta,2666,56,0.2853410015140018,0.12351332877648666,0.8034284938507256,0.10297113525305711,-0.4836131449475117,-0.5865842802005687,-1.6835231195948006,0.40734082135654387,TRUE,0,1.8478241440081034,2.01085590003624
PartialcrossTimelimited,gamma,2666,56,0.8757086216604577,0.8311688311688312,0.29214662956087606,0.45060392470818156,0.4659329105999503,0.015328985891768683,-0.5939836904792216,0.6172488678482192,TRUE,0,1.8478241440081034,2.01085590003624
PartialtickNoTimelimited,alpha,2594,56,0.09453608762007214,0.06937799043062201,0.2512799512685549,1.3700732684005195,1.3890626986246033,0.018989430224083757,-0.4058145678588847,0.5088453234907764,TRUE,0,1.9353248827151257,2.011120189730368
PartialtickNoTimelimited,beta,2594,56,0.4994725213029801,0.2978127136021873,0.9786436355111792,-0.8147397434084398,-0.5018375117571928,0.31290223165124703,-1.6101192201582486,1.785097658448668,TRUE,0,1.9353248827151257,2.011120189730368
PartialtickNoTimelimited,gamma,2594,56,0.8096518136011761,0.8235816814764183,0.32907490584908866,0.18547238751190934,0.22395202929426272,0.038479641782353385,-0.7040106063770726,0.5425349434993667,TRUE,0,1.9353248827151257,2.011120189730368
PartialtickTimelimited,alpha,854,56,-0.005124667057008097,-0.05297334244702666,0.8236605131228238,1.9659918774392868,1.2615051878025838,-0.704486689636703,-1.5057278943573993,0.1643021354734002,TRUE,0,1.9311508220448168,2.009283793651858
PartialtickTimelimited,beta,854,56,0.3143675299587122,0.15803144224196858,0.6387402920182272,-0.8788796959392832,-1.068170505805665,-0.18929080986638178,-1.4470789962821164,0.9669250827039622,TRUE,0,1.9311508220448168,2.009283793651858
PartialtickTimelimited,gamma,854,56,0.8261833402390095,0.8276144907723856,0.28717571494293154,0.24727283512066098,0.2993734505288543,0.05210061540819331,-0.4013942830451283,0.514006612980703,TRUE,0,1.9311508220448168,2.009283793651858
