model,parameter,condition,mean,q025,q17,q83,q975
Reaction Times,Relative Reward,Accept,0.04083494116357398,-0.021799286924859263,0.008125015420162153,0.07173553387319,0.10651930882727885
Reaction Times,Relative Reward,Reject,0.033192961456645804,-0.03297704903702144,0.00333113889533055,0.06484785136969666,0.10210132553742986
Reaction Times,Relative Uncertainty,Accept,0.05930546772468538,-1.4769241631135768,-0.7076961719223233,0.8089152888055694,1.7714785309819587
Reaction Times,Relative Uncertainty,Reject,0.5524622326241535,-1.150779170934805,-0.2443740143376195,1.310762723650712,2.142599378329141
Reaction Times,Total Uncertainty,Accept,0.1990667804499563,0.1767922293356751,0.188244903100534,0.20970336646758472,0.22109534590720883
Reaction Times,Total Uncertainty,Reject,0.2313704394483091,0.20943969456610445,0.22030474906266556,0.24267186539212968,0.25332109327022573
Evidence Accumulation,Relative Reward,Accept,0.148906183114643,-0.6060247959621622,-0.22495685735780827,0.5097733352944326,0.8476045415243507
Evidence Accumulation,Relative Reward,Reject,-0.06473085836534535,-0.8378361841050789,-0.42466348877067783,0.30555948835935504,0.7118927830353777
Evidence Accumulation,Relative Uncertainty,Accept,0.009770274100351932,-5.546333423873072,-2.806820663078936,2.7999000078387812,5.263886196687748
Evidence Accumulation,Relative Uncertainty,Reject,1.7798426295587721,-4.5056615127114545,-1.2597601330321595,4.936197218238146,7.961037522436335
