model,parameter,condition,mean,q025,q17,q83,q975
Reaction Times,Relative Reward,Accept,0.011342807832601979,-0.02152097539316512,-0.003915935038091383,0.02616831771567579,0.04499228771220526
Reaction Times,Relative Reward,Reject,-0.02922056175629771,-0.06631080836633521,-0.04582802768478756,-0.011778090410292645,0.005408124660794662
Reaction Times,Relative Uncertainty,Accept,0.046903285696352603,0.017207448170223443,0.03205348572385052,0.061123405162276226,0.07700829728591232
Reaction Times,Relative Uncertainty,Reject,0.0027238023797666504,-0.03120448524730104,-0.013673285942888228,0.01922061196404544,0.036399932508149324
Reaction Times,Total Uncertainty,Accept,0.15654769755771772,0.13783705368143753,0.1478045000013976,0.16561616451357028,0.1753403506148588
Reaction Times,Total Uncertainty,Reject,0.22887010420783668,0.20925139145878893,0.21938172924112345,0.23789643215380996,0.24914926542022806
Evidence Accumulation,Relative Reward,Accept,0.207657640687877,0.0790461560372772,0.14235169230409433,0.27416978055839314,0.3448307670434961
Evidence Accumulation,Relative Reward,Reject,0.11656088410146397,-0.055181551079087406,0.03084672875528832,0.20058894088637996,0.28894228194398874
Evidence Accumulation,Relative Uncertainty,Accept,-0.012967584295667594,-0.13917088002033917,-0.07485313758569345,0.05130275109885101,0.11224060465697087
Evidence Accumulation,Relative Uncertainty,Reject,-0.06093253875724096,-0.2677750017482871,-0.15812335159945015,0.03762542437618297,0.1373557549156099
Evidence Accumulation,Total Uncertainty,Accept,0.024670904159269372,-0.04649287268220203,-0.011649440588004413,0.06025988608589147,0.09429971698230673
Evidence Accumulation,Total Uncertainty,Reject,0.16641533452619597,-0.03508701028829145,0.05870127395148983,0.26853293115578863,0.3832753406721856
