model,parameter,condition,mean,q025,q17,q83,q975
Reaction Times,Relative Reward,Limited Time,-0.022212138935031968,-0.050776256123077686,-0.035922174110036266,-0.008387133991457177,0.005013607673097411
Reaction Times,Relative Reward,Unlimited Time,0.03402302390814672,0.005723497708753543,0.019921583240964977,0.04816307068810195,0.06318777224365392
Reaction Times,Relative Uncertainty,Limited Time,0.014251984257774016,-0.014103063046445236,0.0010062701910183499,0.02757372627087314,0.041423011603615535
Reaction Times,Relative Uncertainty,Unlimited Time,0.07340332027896247,0.044852400760113785,0.059471626704653134,0.08714251192661127,0.10090022675826515
Reaction Times,Total Uncertainty,Limited Time,0.18292757946106317,0.16833332736945972,0.17596429720182832,0.1902811199007016,0.19750192515860993
Reaction Times,Total Uncertainty,Unlimited Time,0.21787196943748824,0.20459736274309775,0.2108243145545664,0.22489537593048003,0.23184363057705693
Evidence Accumulation,Relative Reward,Limited Time,0.09964252379832524,-0.04922872501795756,0.022875997738469416,0.17391980982261898,0.243742815058765
Evidence Accumulation,Relative Reward,Unlimited Time,0.21667221137963621,0.07382585567941446,0.14769960353972716,0.28377246338599554,0.3586239951389499
Evidence Accumulation,Relative Uncertainty,Limited Time,-0.13857492380177716,-0.2984690222160384,-0.21452920033722148,-0.06387435415294036,0.009559652616712792
Evidence Accumulation,Relative Uncertainty,Unlimited Time,0.022924764762317296,-0.109610511824584,-0.04432839943100015,0.08900335768716382,0.1647838236442273
Evidence Accumulation,Total Uncertainty,Limited Time,0.03973896221170473,-0.06297789767851102,-0.013572644378732991,0.09479128492376404,0.14772430218925406
Evidence Accumulation,Total Uncertainty,Unlimited Time,6.634260388444028e-4,-0.0781184146579054,-0.036967947510609334,0.04119041944814031,0.08109089162155197
