model,contrast,component,label,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
No previous risky choice,Full - Partial,Risky-choice bias,Full - Partial,-0.18130903954994404,0.14024026203974385,-1.2928458412218409,0.19606438205450558,-0.456179953147842,0.09356187404795391,TRUE
No previous risky choice,Full - Partial,Value slope (V_risky),Full - Partial,-0.19954014093896041,0.11691289254388437,-1.7067419734231715,0.08787002197076042,-0.42868941032497376,0.029609128447052963,TRUE
No previous risky choice,Full - Partial,Relative uncertainty slope (RU_risky),Full - Partial,-8.025240886121347,2.617980753269277,-3.06543158352085,0.0021735609977923676,-13.15648316252913,-2.893998609713565,FALSE
No previous risky choice,Full - Partial,Value / total uncertainty slope (VTU_risky),Full - Partial,0.020409710724685462,0.052116795366131605,0.3916148447214164,0.6953428177872991,-0.08173920819293248,0.12255862964230341,TRUE
No previous risky choice,TP - NoTP,Risky-choice bias,TP - NoTP,0.031053906486329164,0.01937235939596953,1.6030007420154517,0.10893449027232822,-0.006915917929771115,0.06902373090242944,TRUE
No previous risky choice,TP - NoTP,Value slope (V_risky),TP - NoTP,-0.14384384609259804,0.08025605834315512,-1.792311372651236,0.07308310256962158,-0.30114572044518206,0.013458028259985988,TRUE
No previous risky choice,TP - NoTP,Relative uncertainty slope (RU_risky),TP - NoTP,-0.09200806260776438,0.07065877047681927,-1.302146385889195,0.19286634886279572,-0.23049925274233013,0.04648312752680138,TRUE
No previous risky choice,TP - NoTP,Value / total uncertainty slope (VTU_risky),TP - NoTP,0.04858777054257991,0.0407338116900013,1.1928117828095737,0.2329430944385211,-0.03125050036982264,0.12842604145498246,TRUE
No previous risky choice,Accept - Reject,Risky-choice bias,Accept - Reject,-0.058107213064057986,0.01935382635878777,-3.0023630462962125,0.0026789248237346712,-0.09604071272728201,-0.020173713400833952,FALSE
No previous risky choice,Accept - Reject,Value slope (V_risky),Accept - Reject,0.0702032475963791,0.08136665435820761,0.8628012070806934,0.38824677538679764,-0.08927539494570781,0.22968189013846602,TRUE
No previous risky choice,Accept - Reject,Relative uncertainty slope (RU_risky),Accept - Reject,0.016316653788401927,0.07122911097907939,0.22907282660307626,0.8188123131744293,-0.12329240373059368,0.15592571130739752,TRUE
No previous risky choice,Accept - Reject,Value / total uncertainty slope (VTU_risky),Accept - Reject,0.02722141251086156,0.04081568054442131,0.6669351618732763,0.5048135499311053,-0.05277732135620419,0.10722014637792732,TRUE
+ Previous risky choice,Full - Partial,Risky-choice bias,Full - Partial,-0.23292879821055784,0.14135489117262431,-1.6478297728382272,0.09938760763397222,-0.5099843849089014,0.044126788487785784,TRUE
+ Previous risky choice,Full - Partial,Value slope (V_risky),Full - Partial,-0.1929659069739459,0.11826550753225122,-1.6316330179475511,0.10275681828242421,-0.4247663017371583,0.038834487789266514,TRUE
+ Previous risky choice,Full - Partial,Relative uncertainty slope (RU_risky),Full - Partial,-8.275953329310221,2.6624665339758673,-3.108378349061057,0.0018811707309755413,-13.494387735902922,-3.057518922717521,FALSE
+ Previous risky choice,Full - Partial,Value / total uncertainty slope (VTU_risky),Full - Partial,0.043667522718847884,0.05121690784936364,0.8525997478660837,0.3938813024574778,-0.056717616665904844,0.14405266210360063,TRUE
+ Previous risky choice,TP - NoTP,Risky-choice bias,TP - NoTP,0.0287698090328123,0.019663749968585692,1.4630886315567588,0.1434431282052093,-0.00977114090561566,0.06731075897124025,TRUE
+ Previous risky choice,TP - NoTP,Value slope (V_risky),TP - NoTP,-0.13811736298558805,0.08117903490004416,-1.7013920300438667,0.08886939688838649,-0.2972282713896746,0.020993545418498516,TRUE
+ Previous risky choice,TP - NoTP,Relative uncertainty slope (RU_risky),TP - NoTP,-0.09265668835429221,0.07149346439890834,-1.2960162041847705,0.1949699022623916,-0.23278387857615257,0.04747050186756814,TRUE
+ Previous risky choice,TP - NoTP,Value / total uncertainty slope (VTU_risky),TP - NoTP,0.059609264222998816,0.041003166212149736,1.4537722261393529,0.14600946608895232,-0.020756941552814663,0.1399754699988123,TRUE
+ Previous risky choice,Accept - Reject,Risky-choice bias,Accept - Reject,-0.05023754501680462,0.019697704373796254,-2.550426387941701,0.010759124237712454,-0.08884504558944528,-0.011630044444163962,FALSE
+ Previous risky choice,Accept - Reject,Value slope (V_risky),Accept - Reject,0.040724510909750045,0.08223655313826057,0.4952117927569481,0.6204506271520428,-0.12045913324124069,0.20190815506074078,TRUE
+ Previous risky choice,Accept - Reject,Relative uncertainty slope (RU_risky),Accept - Reject,-0.010034961868221079,0.07207343880910558,-0.13923245559019012,0.8892664624231792,-0.15129890193406803,0.13122897819762586,TRUE
+ Previous risky choice,Accept - Reject,Value / total uncertainty slope (VTU_risky),Accept - Reject,0.04050781887947876,0.04114824939213467,0.9844360204354569,0.3249011746861141,-0.040142749929105194,0.12115838768806272,TRUE
