contrast,component,label,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
Full - Partial,Risky-choice bias,Full - Partial,-0.18130903954994404,0.14024026203974385,-1.2928458412218409,0.19606438205450558,-0.456179953147842,0.09356187404795391,TRUE
Full - Partial,Value slope (V_risky),Full - Partial,-0.19954014093896041,0.11691289254388437,-1.7067419734231715,0.08787002197076042,-0.42868941032497376,0.029609128447052963,TRUE
Full - Partial,Relative uncertainty slope (RU_risky),Full - Partial,-8.025240886121347,2.617980753269277,-3.06543158352085,0.0021735609977923676,-13.15648316252913,-2.893998609713565,FALSE
Full - Partial,Value / total uncertainty slope (VTU_risky),Full - Partial,0.020409710724685462,0.052116795366131605,0.3916148447214164,0.6953428177872991,-0.08173920819293248,0.12255862964230341,TRUE
TP - NoTP,Risky-choice bias,TP - NoTP,0.031053906486329164,0.01937235939596953,1.6030007420154517,0.10893449027232822,-0.006915917929771115,0.06902373090242944,TRUE
TP - NoTP,Value slope (V_risky),TP - NoTP,-0.14384384609259804,0.08025605834315512,-1.792311372651236,0.07308310256962158,-0.30114572044518206,0.013458028259985988,TRUE
TP - NoTP,Relative uncertainty slope (RU_risky),TP - NoTP,-0.09200806260776438,0.07065877047681927,-1.302146385889195,0.19286634886279572,-0.23049925274233013,0.04648312752680138,TRUE
TP - NoTP,Value / total uncertainty slope (VTU_risky),TP - NoTP,0.04858777054257991,0.0407338116900013,1.1928117828095737,0.2329430944385211,-0.03125050036982264,0.12842604145498246,TRUE
Accept - Reject,Risky-choice bias,Accept - Reject,-0.058107213064057986,0.01935382635878777,-3.0023630462962125,0.0026789248237346712,-0.09604071272728201,-0.020173713400833952,FALSE
Accept - Reject,Value slope (V_risky),Accept - Reject,0.0702032475963791,0.08136665435820761,0.8628012070806934,0.38824677538679764,-0.08927539494570781,0.22968189013846602,TRUE
Accept - Reject,Relative uncertainty slope (RU_risky),Accept - Reject,0.016316653788401927,0.07122911097907939,0.22907282660307626,0.8188123131744293,-0.12329240373059368,0.15592571130739752,TRUE
Accept - Reject,Value / total uncertainty slope (VTU_risky),Accept - Reject,0.02722141251086156,0.04081568054442131,0.6669351618732763,0.5048135499311053,-0.05277732135620419,0.10722014637792732,TRUE
