parameter,time_pressure,mean,median,q2.5,q97.5
mu_alpha,No TP,0.6283390731568999,0.6278276053006508,-0.051051704111780165,1.3145998109520707
mu_alpha,TP,0.5786711729648409,0.5768739058747092,-0.05870649780672535,1.2106731723955286
mu_beta,No TP,-0.037058852075498916,-0.03571912797044314,-0.31145963279593825,0.235085308726889
mu_beta,TP,0.05076112562654112,0.05138936453627106,-0.20463421237820759,0.3026648528884946
mu_gamma,No TP,-0.05315267998491948,-0.052769726227858214,-0.20758574251238318,0.10271595690526629
mu_gamma,TP,0.08364521793682816,0.08337858511887257,-0.09629000695143762,0.26386637926954526
sigma_alpha,No TP,0.3523626235855067,0.29844717680037147,0.014106887843626474,0.9863453938300305
sigma_alpha,TP,0.3773600583807335,0.3125956511113952,0.014110962801018024,1.0885396066479862
sigma_beta,No TP,0.19446337473397893,0.1681650495988493,0.007854473818552669,0.5267888098872074
sigma_beta,TP,0.18403638208503215,0.1573936051224009,0.007126337795584107,0.4998729748215257
sigma_gamma,No TP,0.5455781511367181,0.5414236546412476,0.41520570662256784,0.6986828608206738
sigma_gamma,TP,0.6493970397997957,0.6444548544928621,0.505762935153582,0.8185581194443112
