task,task_label,feedback,frame,time_pressure,parameter,mean,median,q2.5,q97.5
FullcrossNoTimelimited,Full | Reject | No TP,Full,Reject,No TP,mu_alpha,0.4445138055547144,0.44157766660390574,-0.1357167957504281,1.0387620270539284
FullcrossTimelimited,Full | Reject | TP,Full,Reject,TP,mu_alpha,0.6909126973095032,0.6857567640598756,0.1085834256784857,1.2745691022013907
FulltickNoTimelimited,Full | Accept | No TP,Full,Accept,No TP,mu_alpha,0.8121643407590853,0.8076303544263573,0.22102133770737534,1.424683485794033
FulltickTimelimited,Full | Accept | TP,Full,Accept,TP,mu_alpha,0.4664296486201787,0.4620567846435968,-0.14718633528725772,1.0723533228986653
PartialcrossNoTimelimited,Partial | Reject | No TP,Partial,Reject,No TP,mu_alpha,1.5302933586133933,1.523112256626627,0.9230841127468988,2.128161911996548
PartialcrossTimelimited,Partial | Reject | TP,Partial,Reject,TP,mu_alpha,1.28911146835017,1.2870572305447316,0.5971853314232276,1.9633061444424045
PartialtickNoTimelimited,Partial | Accept | No TP,Partial,Accept,No TP,mu_alpha,1.9924401549683042,1.9946281781049526,1.373206499557478,2.598129068049998
PartialtickTimelimited,Partial | Accept | TP,Partial,Accept,TP,mu_alpha,1.9243093295746039,1.9229821293384939,1.3911023182485402,2.470942889431212
FullcrossNoTimelimited,Full | Reject | No TP,Full,Reject,No TP,mu_beta,0.019279087916418254,0.0192620189280466,-0.2287908643087843,0.26946399253295544
FullcrossTimelimited,Full | Reject | TP,Full,Reject,TP,mu_beta,0.07620188253713717,0.0753998377897396,-0.17184282575929904,0.3246640847686143
FulltickNoTimelimited,Full | Accept | No TP,Full,Accept,No TP,mu_beta,-0.09339679206741608,-0.09141168789034362,-0.34812116212250344,0.16128003134108435
FulltickTimelimited,Full | Accept | TP,Full,Accept,TP,mu_beta,0.02532036871594507,0.026103734061743766,-0.22967975475183505,0.27270753826830013
PartialcrossNoTimelimited,Partial | Reject | No TP,Partial,Reject,No TP,mu_beta,-0.49033637171030575,-0.493366175664647,-0.8115675228326014,-0.16046471983277635
PartialcrossTimelimited,Partial | Reject | TP,Partial,Reject,TP,mu_beta,-0.19055933491447152,-0.19462175203779467,-0.4718603167779302,0.110605992654858
PartialtickNoTimelimited,Partial | Accept | No TP,Partial,Accept,No TP,mu_beta,-0.851639443272363,-0.850865272778758,-1.1457466532788043,-0.5761621456001191
PartialtickTimelimited,Partial | Accept | TP,Partial,Accept,TP,mu_beta,-0.9280176866137251,-0.9286838680840723,-1.1825043749932191,-0.6761592392267732
FullcrossNoTimelimited,Full | Reject | No TP,Full,Reject,No TP,mu_gamma,-0.04776241538211127,-0.04651598879072384,-0.2009898598824337,0.10287353283044448
FullcrossTimelimited,Full | Reject | TP,Full,Reject,TP,mu_gamma,0.0652581073779928,0.06414631185163877,-0.10995428471945559,0.24191579305847263
FulltickNoTimelimited,Full | Accept | No TP,Full,Accept,No TP,mu_gamma,-0.05854294458772769,-0.05837176314305044,-0.21464736577372495,0.10254267215447013
FulltickTimelimited,Full | Accept | TP,Full,Accept,TP,mu_gamma,0.10203232849566353,0.10213644396888957,-0.07613415736599372,0.28104757417647797
